name,GFP_above_parent,pi
c80,-1,0.330271412416
c81,-1,0.356102399934
c83,-1,0.414204967953
c84,-1,0.353274161725
c85,-1,0.285268976511
c86,-1,0.370644579779
c87,1,0.529453527777
c88,-1,0.362620094439
c1_2,1,0.757173888842
n38,-1,0.360825339177
n39,1,0.424644487022
c2_2,-1,0.271580659638
n2_2,-1,0.348346953982
n32,-1,0.32216814857
n34,-1,0.307847139891
n35,-1,0.326696232585
n36,-1,0.444513079679
n37,-1,0.457408963818
n7_2,1,0.551257316251
n6_2,-1,0.300975842987
c19,-1,0.439388650604
n5_2,1,0.651204444543
c89,1,0.555511829715
c13,-1,0.300334797697
c12,1,0.485007236529
c11,-1,0.350327732711
n4_2,-1,0.429863445889
c16,-1,0.372589488363
c15,-1,0.381319042606
c14,-1,0.345707973216
cschrimson,1,0.415512110224
n84,-1,0.339556798138
n87,-1,0.412872669428
n86,-1,0.411170829312
n80,1,0.570594265752
n83,1,0.484686936918
n82,1,0.559007203215
n89,-1,0.34723776296
n88,-1,0.342745454749
n12,1,0.468873452234
n13,1,0.518904645815
n10,-1,0.390249595941
n11,1,0.490980970329
n16,-1,0.329417310388
n17,1,0.455916567683
n14,-1,0.300271710554
n15,-1,0.405773633516
n18,-1,0.367244636143
n19,-1,0.35634522082
c100,1,0.518365152897
c101,-1,0.362273136593
c102,-1,0.3390616946
c103,1,0.567702398753
n98,1,0.55106882495
n99,1,0.492163141767
n93,1,0.592587261567
n90,1,0.436817923567
n96,-1,0.311053035589
n97,1,0.619558926824
n94,1,0.541198385131
n95,-1,0.310176963255
c39,-1,0.395966581972
c38,-1,0.395469761131
cheriff,1,0.429564887653
c1c2,1,0.75207827896
c35,-1,0.312370891858
c34,1,0.526607970154
c37,-1,0.347431549419
c36,1,0.498393476278
c31,-1,0.392887868457
c30,-1,0.263987796479
c33,-1,0.322323047936
c32,-1,0.331105304924
n67,1,0.722202586737
n66,-1,0.359766697993
n65,1,0.720243943492
n64,1,0.6553895553
n63,1,0.706319124149
n62,-1,0.457841852473
n61,-1,0.530751145599
n60,1,0.62735524443
n69,1,0.767560089182
n68,1,0.738767470972
c20,-1,0.342330186479
c21,1,0.583523919452
c24,1,0.543203781756
c25,-1,0.316791458712
c28,-1,0.377783727462
c29,-1,0.312987982246
c4_2,1,0.76563737068
n75,1,0.604653982029
n76,-1,0.33823181171
n77,1,0.602890613878
n70,1,0.724426561242
n71,-1,0.472847343246
n72,1,0.705452815896
n73,1,0.729486888677
n78,-1,0.461169252292
n79,1,0.576490997778
c57,-1,0.568264377231
c56,1,0.695499023394
c55,-1,0.540860503937
c54,-1,0.356883527758
c53,1,0.547821438547
c52,-1,0.426756642151
c51,1,0.469685311588
c50,-1,0.367044358731
c59,-1,0.578800130757
c58,1,0.645413024112
n1_2,1,0.556823087544
n49,-1,0.376939409805
n48,-1,0.412440945155
n41,-1,0.357734801376
n40,1,0.427489194703
n43,-1,0.338634545015
n42,1,0.468070867363
n45,1,0.450853997318
n44,-1,0.3787166566
n47,-1,0.35023706334
n46,1,0.587011977136
c8,-1,0.308497340272
c3,-1,0.461708510101
c2,1,0.634303135113
c1,1,0.55031060364
c7,1,0.471126339774
c6,1,0.467115071867
c5,-1,0.375759698772
c4,-1,0.251938506719
c44,-1,0.38177329265
c46,1,0.523551702099
c47,-1,0.351812707645
c40,-1,0.336325602085
c41,-1,0.376370195917
c42,1,0.440408761583
c43,1,0.495240519845
c48,-1,0.376984437977
c49,-1,0.371554881613
n3_2,1,0.55044742725
n58,1,0.720853515558
n59,1,0.710183522017
n56,-1,0.362958430574
n57,1,0.657873650084
n52,1,0.507806652362
n53,-1,0.356880208418
n50,-1,0.41067571695
n51,1,0.508559311976
c79,-1,0.341462229265
c78,-1,0.339715192937
c71,1,0.676492784838
c70,1,0.752405597465
c73,1,0.766853472662
c72,-1,0.435555355842
c75,1,0.520565373904
c74,-1,0.361001737032
c77,1,0.530071998166
c76,1,0.551535538793
c93,1,0.540929522212
c92,-1,0.386286536625
c90,-1,0.323151276071
c97,-1,0.357284440424
c96,1,0.531018388037
c95,-1,0.387066790748
n29,-1,0.360349315129
n28,-1,0.300861859539
n23,-1,0.418173083776
n22,-1,0.316819128962
n21,-1,0.457686546886
n20,1,0.467777062537
n25,1,0.497403274108
n24,-1,0.34402169425
c69,1,0.58006691393
c66,1,0.674360721612
c67,-1,0.595308920977
c64,1,0.759561090292
c62,-1,0.61671174126
c63,-1,0.436065119741
c60,-1,0.448084027765
c61,-1,0.564585193301
n8,-1,0.335575694021
n9,-1,0.404860171215
n8_2,1,0.738417576914
n101,-1,0.301508696614
n100,-1,0.345584690326
n1,1,0.528067332707
n2,1,0.564799372478
n3,1,0.470461160127
n4,1,0.490698287124
n5,-1,0.260119551835
n6,1,0.442680999559
n7,-1,0.34393564218
