predicted,actual
3.30803634177,4.41711795448
3.21962863511,2.54944517093
4.3504984347,3.20969091529
6.26871483805,6.86810447335
3.36755828578,5.09117018832
3.45276186624,4.23386492953
5.0329409518,7.28085214206
4.13145720833,4.28151545308
9.35988590106,8.64045099094
3.12401067623,3.99758889376
3.16012076713,2.46172331433
3.89295907647,4.30338918916
3.91978599556,2.72498925516
2.60427946003,1.01160091168
7.07587092141,6.58906401966
4.11228892974,3.5403794458
3.66534524533,3.85333400908
3.07501343607,2.63905732962
3.9694913273,4.99484460819
4.06867858286,4.38014987466
3.45754250101,3.96903326014
3.86937038463,-1.20397280433
3.94542563376,3.44680789291
6.17795131658,3.40452517175
4.48183745151,5.78674399537
2.33382507561,3.92493923069
3.6631407831,3.58462943274
4.04786310769,7.08938909934
5.0474985659,5.79981966285
3.19825960159,4.02624414952
5.36650829757,7.69977652907
3.97266619609,4.31060735244
4.08358441827,3.91242292545
6.98897157515,8.54205652114
2.65961709113,2.12823170585
3.2670332015,2.215573716
2.85643569815,2.98163334917
3.45512488533,3.95354875226
1.79735803066,-1.45528723261
4.93624617343,5.15953411177
3.16043011909,4.22420254948
2.85409278633,3.51631018876
6.5057325251,6.34791446573
3.33349671975,2.93545134267
3.99058362694,2.80789553607
8.1111387006,7.48369425864
3.62527703531,3.41303183931
4.07664006153,3.09722166973
3.67562975123,3.07037581655
4.8499069653,3.32965023037
3.94232287712,4.42231515359
3.46718921362,4.04830062372
4.33008973096,4.73092139129
3.15180888226,4.85389151149
