predicted,actual
3.26627746507,4.41711795448
3.40051969076,2.54944517093
3.65186508628,3.20969091529
3.31979881332,6.86810447335
3.93421902984,5.09117018832
3.60948765041,4.23386492953
5.68089850486,7.28085214206
3.33904369098,4.28151545308
6.97269281622,8.64045099094
3.38762480622,3.99758889376
2.71788714679,2.46172331433
3.53677421113,4.30338918916
2.77084209267,2.72498925516
4.35008849974,1.01160091168
5.64121995194,6.58906401966
2.97115114366,3.5403794458
4.58294265234,3.85333400908
3.96567361827,2.63905732962
4.26731722304,4.99484460819
4.3310235062,4.38014987466
4.08661926,3.96903326014
4.21941980426,-1.20397280433
3.04104931389,3.44680789291
2.37096034974,3.40452517175
5.71446521289,5.78674399537
3.85206917743,3.92493923069
3.72645408379,3.58462943274
4.00090958525,7.08938909934
5.6686082082,5.79981966285
4.36512767892,4.02624414952
3.35436722081,7.69977652907
3.88396627961,4.31060735244
4.10576497102,3.91242292545
6.96188148925,8.54205652114
2.64891283074,2.12823170585
3.00099500611,2.215573716
2.88712566351,2.98163334917
3.22295989046,3.95354875226
4.14779442366,-1.45528723261
3.01175354593,5.15953411177
2.94261594928,4.22420254948
2.48271890169,3.51631018876
6.2112466364,6.34791446573
3.98095972378,2.93545134267
4.89187796732,2.80789553607
4.80237395065,7.48369425864
3.33445684555,3.41303183931
3.55417190555,3.09722166973
3.08619985542,3.07037581655
3.48902607983,3.32965023037
4.09042406501,4.42231515359
3.60966729236,4.04830062372
4.00870144784,4.73092139129
3.24913695281,4.85389151149
