predicted,actual
3.88322841773,4.41711795448
2.19548505367,2.54944517093
3.57489443561,3.20969091529
3.20969091529,6.86810447335
3.61453237982,5.09117018832
3.37379885949,4.23386492953
6.99813680629,7.28085214206
3.20969091529,4.28151545308
8.17545951968,8.64045099094
4.24596708563,3.99758889376
2.8517513221,2.46172331433
4.29351170494,4.30338918916
4.0503474684,2.72498925516
4.41711795448,1.01160091168
7.56891010553,6.58906401966
3.43786250804,3.5403794458
7.54419729436,3.85333400908
4.41711795448,2.63905732962
4.23366308976,4.99484460819
4.4081562606,4.38014987466
4.50377695254,3.96903326014
4.40784657044,-1.20397280433
4.41711795448,3.44680789291
0.92385162282,3.40452517175
5.79981966285,5.78674399537
3.98236069296,3.92493923069
2.04344637832,3.58462943274
4.28314240605,7.08938909934
5.78674399537,5.79981966285
4.33079373,4.02624414952
3.20969091529,7.69977652907
3.5767790945,4.31060735244
3.9655925299,3.91242292545
8.15099540534,8.54205652114
2.71725538186,2.12823170585
2.71897402037,2.215573716
2.57529020744,2.98163334917
1.91368028921,3.95354875226
3.94749167164,-1.45528723261
2.54944517093,5.15953411177
2.54944517093,4.22420254948
2.54944517093,3.51631018876
5.8614494027,6.34791446573
3.74406425092,2.93545134267
7.52042824461,2.80789553607
3.69556633561,7.48369425864
4.23252599847,3.41303183931
3.39878643012,3.09722166973
3.42463846012,3.07037581655
3.40741743872,3.32965023037
3.8295110054,4.42231515359
3.05611675462,4.04830062372
4.30060821877,4.73092139129
2.7241299359,4.85389151149
