name,mu,var,y
cschrimson,3.33249746549,1.16000816461,4.41711795448
cheriff,3.23859272015,1.14390151972,2.54944517093
c1c2,4.34996614962,1.11121814418,3.20969091529
c66,6.18613840338,2.88541622268,6.86810447335
c61,3.36627963082,2.44197198695,5.09117018832
n39,3.4522060836,1.32318591996,4.23386492953
n25,4.99380425863,2.91603756885,7.28085214206
c73,4.10849810785,1.60186162422,4.28151545308
n83,9.20939067986,2.56281954088,8.64045099094
n58,3.26666869835,1.3382072835,3.99758889376
n38,3.19324072878,1.84316184148,2.46172331433
n48,3.87905880755,1.34890078127,4.30338918916
n45,3.931114955,1.59203833672,2.72498925516
n14,2.6395810861,1.75024300541,1.01160091168
n52,6.95241912249,2.0610769008,6.58906401966
n2,4.11206434311,1.78907591604,3.5403794458
n5,3.67393015285,1.65261171694,3.85333400908
n6,3.10913815828,1.34107219181,2.63905732962
n10,3.95366217362,1.60874716262,4.99484460819
n11,4.01919102713,1.88786633891,4.38014987466
n19,3.44718275909,1.85652865391,3.96903326014
n17,3.8633597845,1.80689001232,-1.20397280433
n15,3.94007500082,1.34558014136,3.44680789291
n70,6.11781300629,1.59311706525,3.40452517175
n72,4.45269107542,1.77813213678,5.78674399537
n73,2.53082629697,1.58148133507,3.92493923069
n65,3.69913419635,1.68504578235,3.58462943274
n20,3.99790110108,1.64816746875,7.08938909934
n63,5.02342776482,1.68995282992,5.79981966285
n64,3.22097905404,1.96627316238,4.02624414952
n57,5.33337372702,1.87448115889,7.69977652907
c67,3.94911015709,2.12629740231,4.31060735244
n60,4.09478601466,2.08607372917,3.91242292545
n18,6.96663043134,1.79700890193,8.54205652114
n43,2.70747844909,1.83327876501,2.12823170585
n36,3.29656089777,1.56824217151,2.215573716
n1,2.88676272046,2.28208088801,2.98163334917
n4,3.41364778353,2.36392605995,3.95354875226
n13,1.57349303142,2.67197737982,-1.45528723261
n41,4.8809981008,2.28407372054,5.15953411177
n40,3.17850248756,2.15308498657,4.22420254948
n42,2.88632698726,1.76746882461,3.51631018876
n21,6.38520916549,2.28763771115,6.34791446573
n59,3.37732753114,1.89137356604,2.93545134267
n51,4.00554564353,2.22193162628,2.80789553607
c96,8.00618994479,4.34812736054,7.48369425864
n69,3.6423077349,1.63151296069,3.41303183931
n68,4.07857285498,1.29149891919,3.09722166973
c2,3.71226776186,2.06449976558,3.07037581655
c70,4.88023311541,1.93495850591,3.32965023037
c58,3.93073359025,2.34002265759,4.42231515359
c64,3.52652204917,1.83263893629,4.04830062372
c49,4.27207538319,2.70793224498,4.73092139129
c52,3.17428729973,2.02239328517,4.85389151149
