name,mu,var,y
cschrimson,0.362005169685,0.0374228777812,1.0
cheriff,0.155944877787,0.0369873266949,0.041141819093
c1c2,0.978512614361,0.0360374023685,0.295526325659
c66,0.869874513606,0.0483062746248,1.0
c61,0.850884158942,0.0458272741711,1.0
n39,0.166358257547,0.0382444074125,0.32507385312
n25,0.416188880446,0.0584293450757,0.564568671798
c73,0.929740698319,0.0394231325517,1.0
n83,0.499009986545,0.0550658930166,0.257808748185
n58,0.894827025987,0.037970915575,1.0
n38,0.256281625638,0.0443699403717,0.193978552996
n48,0.179275973213,0.0385803960371,0.162500176343
n45,0.219548307753,0.0405899505617,0.0983591976999
n14,0.458353784144,0.0439305357518,0.490455312113
n52,0.226099454342,0.0448903265288,0.260932676011
n2,0.852682677297,0.0445593359204,1.0
n5,0.390206255661,0.0430100332757,0.0863394691352
n6,0.413914161631,0.0387809346653,0.186987628292
n10,0.434512306606,0.042278062196,0.550571045979
n11,0.409726979537,0.0432116294702,0.365890573206
n19,0.620852975871,0.0437818297864,0.486080030887
n17,0.412466923671,0.0443512204804,0.460238802979
n15,0.437385456279,0.0386988679101,0.267615940659
n70,0.920919229109,0.0412130835508,1.0
n72,0.813448458621,0.0429413520902,0.418930507719
n73,0.851168705894,0.0407875820396,1.0
n65,0.867722913187,0.0405224609887,1.0
n20,0.44017136044,0.0420260327136,0.657534691893
n63,0.799199266818,0.0413591565217,0.708911823524
n64,0.812817389372,0.0434293320896,1.0
n57,0.806736390794,0.0427029861593,0.801655319227
c67,0.88705599762,0.0432399323917,0.8393154813
n60,0.849901099844,0.0438706967927,1.0
n18,0.519875936948,0.0438035858724,0.245938678187
n43,0.131017785128,0.043370536599,0.052613551811
n36,0.17345575819,0.0397502547073,0.0399776780384
n1,0.216032155092,0.0484305384952,0.0245192213959
n4,0.382990063391,0.0471862975464,0.544579173009
n13,0.602118497642,0.0513081709394,0.360724478209
n41,0.195884171858,0.0467511417235,0.288435947516
n40,0.162891284545,0.0468198094537,0.211569651882
n42,0.186704362853,0.0410109801848,0.172899142565
n21,0.68942597612,0.0515161032937,0.559992752365
n59,0.903277012066,0.0441469182649,1.0
n51,0.259456482178,0.047654986463,0.0525681046435
c96,0.622491545683,0.0609130477747,1.0
n69,0.935088430581,0.0410711118832,1.0
n68,0.936725564942,0.0373150328859,1.0
c2,0.896074136811,0.0440187896118,1.0
c70,0.948268592911,0.0417206136276,1.0
c58,0.874418618792,0.0435637362414,0.913008989046
c64,0.937284358936,0.0411289724566,1.0
c49,0.227229744714,0.0456341478463,0.231544496281
c52,0.215811368802,0.0431067021901,0.329724218823
