name,mu,var,y
cschrimson,0.241328627073,0.024140852848,0.995384272336
c1c2,0.565976030052,0.0471739587847,0.410216042367
cheriff,0.173189627825,0.0536414431421,0.422033370409
c1,0.305027309663,0.0927665426043,0.528563330588
c2,0.356508519769,0.0388114493663,1.40927556115
c3,0.33992705423,0.0177293913887,0.15132543732
c4,0.181332430884,0.0216638853403,0.101491584898
c5,0.193772686002,0.0350239007214,0.299933628593
c6,0.307823235671,0.0288231886676,0.539171712699
c7,0.218502997746,0.117646290583,0.685452915366
c8,0.0815113031745,0.0242271799672,0.0174190501641
c11,0.241837457669,0.0204630426026,0.199027510468
c13,0.203746850752,0.0242781938354,0.100236282904
c14,0.221872060141,0.0214293642152,0.0450291964387
c15,0.192220882911,0.0181752402087,0.0300229146653
c16,0.307931586579,0.0288912575314,0.259538421121
c19,0.321782587086,0.0249181744021,0.0404557941003
c20,0.159014537715,0.0089345140164,0.22040531197
c21,0.386506478724,0.138175043484,0.920732454981
c24,0.224406893052,0.105724135111,0.33137967098
c25,0.200709699362,0.0502201345548,0.082741579702
c28,0.356740606062,0.0508988190424,0.266251811809
c29,0.0454828368246,0.0509075142465,0.0154297057468
c30,0.0765117045438,0.0293759500539,0.0227163423329
c31,0.291598765626,0.0496592544029,0.0471051925601
c32,0.170866981647,0.0444643646891,0.0795025099572
c33,0.0970249610006,0.0516432292423,0.104296952448
c34,0.0727990547444,0.0327487777269,0.217408394759
c35,0.122779404316,0.048669806041,0.0211683952799
c36,0.0757975660325,0.0137475933663,0.0507698495863
c37,0.160857743378,0.0307594148607,0.168916713845
c39,0.196235156871,0.0125657104086,0.213943104907
c40,0.285964815309,0.0424289965391,0.248751146726
c41,0.162308002143,0.0577562817882,0.412880614312
c42,0.186063093325,0.134457570336,0.714408371958
c43,0.127782095868,0.0382305072438,0.179138227015
c44,0.122970595333,0.0148694683847,0.0928256962323
c46,0.0896046003775,0.0156962634598,0.0357924734069
c47,0.0408860766468,0.0216460206409,0.0422969093023
c48,0.168525865493,0.0298267020183,0.191855703051
c49,0.148014651112,0.0223985863231,0.223951080613
c50,0.141046096258,0.0451415342684,0.663274547888
c51,0.0758477761477,0.0208342826869,0.0288819697713
c52,0.190857921533,0.115107178146,0.519070663556
c53,0.059056199788,0.0325519728638,0.0490104294763
c54,0.078071894093,0.0114450429662,0.0740127904473
c55,0.290788191928,0.0197578484247,0.0219945570699
c56,0.459399410695,0.0297068465875,0.624005932818
c57,0.432232159395,0.0322207357481,0.181800467079
c58,0.32945697307,0.0375259432187,1.12601002926
c59,0.367399639815,0.0284762367041,0.0262561132416
c60,0.00745785728915,0.0388314808865,0.0897186774416
c62,0.36028594833,0.0178828223535,0.276149143386
c63,0.217383012112,0.0237186479614,0.0539526914222
c64,0.56908648017,0.0476156271984,0.827307419668
c66,0.306780423829,0.0641425154221,0.333408983807
c69,0.112932045784,0.033898022443,0.0115596947563
c70,0.551924418668,0.0442447623345,0.900273392417
c71,0.435460356737,0.0135972021231,0.36109340582
c72,0.137253328158,0.0266119708491,0.0614201258906
c73,0.590342759037,0.0178856324047,0.390692657169
c74,0.221743894151,0.0515082739212,0.0920349108794
c75,0.109035819724,0.0488494141257,0.0160102880336
c76,0.0572298713314,0.0493012132652,0.01606071321
c77,0.0608911097108,0.0447582366825,0.0812099544001
c78,0.280672471038,0.0516261923043,0.151074581121
c79,0.0540254489692,0.0513756761429,0.0572369379209
c80,-0.00911462307353,0.0493146955583,0.0390619197093
c81,0.0632840344249,0.0498393094952,0.0552715361301
c83,0.168743188236,0.0460181541746,0.00731449791469
c84,0.044440258369,0.0489849590061,0.0268255842604
c85,0.0111175797644,0.0465271549802,0.0355651185429
c86,0.171594812399,0.0489780669427,0.0433562950489
c87,0.14343127314,0.0499276639004,0.0718702112775
c88,-0.0699711082712,0.054622488944,0.0615793754738
c89,0.0235446005105,0.0559106781231,0.0827839888877
c90,0.0527116488674,0.0463620042495,0.0503710263851
c92,-0.0863757798579,0.0525362566333,0.103653880052
c93,0.23909206585,0.0452092131027,0.39364524144
c95,0.180593175173,0.0524395890957,0.0365789003186
c96,0.267259962918,0.0867576751287,0.473928834793
c103,-0.114880311606,0.0532976197658,0.0744679205579
n1,0.253640845009,0.042697770287,0.381267921417
n2,0.770699547787,0.14618519572,1.15929097816
n3,0.284599001146,0.0155016673462,0.242386356764
n4,0.196404232043,0.0279619254036,0.299278112062
n5,0.133866046881,0.0415330572142,0.365013809903
n6,0.297456020318,0.0282835089315,0.593818179313
n7,0.190015384228,0.0267397190727,0.221006891405
n8,0.0662818520492,0.0210587866163,0.0332016393462
n9,0.31042747392,0.0186156940995,0.105753164948
n10,0.283484432765,0.0489390364804,0.395939659952
n11,0.30981863537,0.0303117854285,0.461110970254
n12,0.256100397389,0.0254603884614,0.189477788482
n13,0.176389341952,0.038942627976,0.670485829088
n14,0.133385337729,0.0262325329338,0.1635445206
n15,0.287549644944,0.00665443512831,0.182159676958
n16,0.165733689032,0.0127237465901,0.0139387472556
n17,0.143046909485,0.0238056701333,0.0752705453124
n18,0.139669133825,0.0277471928369,0.203010625895
n19,0.272555714303,0.0303386381307,0.21658301405
n20,0.288070383268,0.024443348842,0.368285652886
n21,0.551592261775,0.0548929386666,0.340900166335
n22,-0.0660415885985,0.0403046213104,0.0305729144604
n23,0.405127682857,0.0523890514158,0.079880562374
n24,0.234781802805,0.0512595742915,0.13850132239
n28,0.101430010571,0.0453009299767,0.0370289287457
n29,0.0400541823051,0.0431539664902,0.0346499408522
n32,0.229533322587,0.0479617739762,0.0663449399714
n34,0.121887418593,0.0425751272364,0.0956431493494
n35,0.177434208002,0.0435445117581,0.0193613041435
n36,0.262383461051,0.0144192657395,0.190355551524
n37,0.0779176049803,0.026290350353,0.0358722127706
n38,0.167536462372,0.0262269821419,0.176314471799
n40,0.108057165708,0.102715287574,0.453958126475
n41,0.167491364918,0.040441980679,0.260497355261
n42,0.197238773343,0.0942784009605,0.387743266127
n43,0.131050071154,0.0390919331359,0.294755286816
n44,0.25174815971,0.0288747197951,0.247013416086
n45,0.19155246624,0.144624683815,0.538257918813
n46,-0.00934996300605,0.0338736704246,0.0428111162356
n47,0.108321907515,0.0180421317255,0.0112286378862
n48,0.203731334905,0.0156336397799,0.117111664007
n49,0.0826883501028,0.0214898255814,0.0336497464096
n50,0.11726682871,0.0193786713939,0.00643918085764
n51,0.278304299935,0.102284424638,0.660506895844
n52,0.308456902304,0.0486370144194,0.197895207884
n53,0.275688409174,0.0224741936575,0.0346048709294
n56,0.0899475510203,0.0304639242438,0.0584056064776
n57,0.288519932783,0.255736354738,1.33821961748
n59,0.483298506091,0.0637426640528,0.91447448423
n60,0.440314979624,0.0682171705517,0.471973076621
n61,0.232280904483,0.0253507620623,0.0785470797893
n62,0.124013221927,0.0358953010575,0.170614676963
n63,0.510316188103,0.0223302632289,0.3017962278
n64,0.326699038213,0.0371817120964,0.301079066004
n65,0.437113160605,0.0279159482614,0.752207273023
n66,0.0513368354999,0.0300278185501,0.0192101164467
n67,0.417898996305,0.10276926288,0.295737466443
n68,0.484894885544,0.141430888674,1.05379666616
n69,0.442302231099,0.121155775137,1.00467191876
n70,0.581336357019,0.203079800622,1.04253273736
n71,0.283955779272,0.0201864643284,0.0220750650008
n72,0.287811358785,0.157751103542,0.896070601108
n73,0.414209869664,0.444713905795,0.864304621201
n75,0.0733781190647,0.0903658091661,0.284958946097
n76,0.142504615884,0.043353121287,0.103089169739
n77,0.0572745007462,0.0502098081352,0.126102991071
n78,0.0969434480144,0.0398773197255,0.0361095767263
n79,0.042194770838,0.0453480694172,0.0562367873407
n80,0.0877774025356,0.0463294940247,0.0683897460422
n82,0.150706150387,0.0518378538679,0.262737963856
n84,0.109881526367,0.0502456621386,0.0529025552285
n86,0.068532425808,0.0439945611467,0.0650102072752
n87,0.190115160503,0.0489107806699,0.0982207608055
n88,0.0845848515541,0.0470884873969,0.0407310802382
n89,0.064275389029,0.0424940307302,0.0245016323641
n93,0.115243857999,0.0489753077385,0.0224733591947
n94,0.266117884041,0.0993283830444,0.824223251275
n95,-0.101050766389,0.0474668707192,0.0194502257027
n96,-0.0508465237813,0.0478175911942,0.0135207181847
n97,0.202101324723,0.0454982185816,0.0477080058667
n98,0.0231226676326,0.0606836002181,0.145825948454
n99,0.0830835832776,0.0446703958814,0.0395462506437
n100,0.00853942877143,0.0416191492437,0.0250603558086
n101,0.0636767177208,0.0445753003384,0.0288215016216
