name,mu,var,y
cschrimson,0.0988029781111,1.2137546342,-0.000899698890696
c1c2,-1.74966096937,1.07419287488,-0.840067011084
cheriff,-2.2164058134,1.21300511727,-1.00182079482
c1,-1.89490054432,3.33991724171,-0.656891537092
c2,-1.63438824053,3.06452346075,0.340917048962
c3,-2.04707655398,2.82148616487,-2.20390837561
c4,-2.55021997552,2.55531246889,-3.7639999786
c5,-3.38867851914,3.32488107122,-1.49869246959
c6,-1.55986388789,2.23490574176,-0.473675186248
c7,-2.38963016258,3.72233267904,-0.317103194976
c8,-4.98590137406,3.81701692583,-6.94117413856
c11,-2.03673217979,2.78808801547,-1.92925014933
c12,-1.67670529236,2.75656173222,-2.97623169173
c13,-2.98277935943,3.62116736938,-4.5291745687
c14,-2.68688885855,3.37936009529,-5.77760741574
c15,-2.75192882986,3.12236220558,-6.38996402059
c16,-1.46813331854,4.17260645492,-1.59023269535
c18,-2.69895958287,2.32319394099,-5.13820018494
c19,-2.14611591495,3.83947839968,-5.7359662243
c20,-3.89358413298,1.97509632839,-1.70113959157
c21,-2.77016785674,5.41942914338,-0.188134568258
c23,-5.29541728577,5.84686763001,-6.24143317456
c24,-3.61527152251,5.71101993843,-1.48344629985
c25,-4.05361716647,5.77740528012,-4.84872958517
c26,-4.14048744863,5.74241758816,-3.99961444984
c28,-3.36046742645,5.80838392924,-1.52239550867
c29,-5.63363780584,5.88333195158,-8.10661323585
c30,-4.62338147905,4.33795736023,-5.15936354031
c31,-3.93235465403,5.70496017626,-5.91964167972
c32,-5.02696108897,5.4441882792,-3.31119055456
c33,-4.55333339229,5.37677827004,-4.74985266217
c34,-4.58368621201,4.26389318741,-2.85304751219
c35,-4.85035736322,5.76085657846,-7.62153218366
c36,-4.01640681342,2.60775715666,-4.97894295782
c37,-2.9904254502,2.8591574203,-2.12759428435
c39,-1.99537799269,2.2806468979,-1.75574652524
c40,-2.22491248236,3.78073551257,-1.56627809203
c41,-3.37502420803,3.38906415132,-0.932613256548
c42,-2.23328590181,1.67610492709,-0.320227394295
c43,-4.01298211166,3.60140117078,-1.89543269585
c44,-2.81028585487,2.43875714428,-3.14122970905
c46,-3.70298858184,2.82163906648,-4.27153407034
c47,-5.77097908417,3.49664580515,-5.84351512058
c48,-2.64954942341,3.71629833096,-2.00546216833
c49,-3.40706748252,3.37107416517,-1.76465196523
c50,-3.38839350198,4.28464618209,-0.404846881609
c51,-5.87668500296,3.25752166397,-7.13694707575
c52,-1.6780891602,2.58129534426,-0.634286019896
c53,-4.18038056838,4.40987387925,-6.79444286633
c54,-3.54887806469,2.38151800269,-4.31300370679
c55,-3.36543951607,3.15245883267,-7.56063961103
c56,-1.52959440795,3.45953103247,-0.656632507153
c57,-0.891389050629,3.37537893508,-2.14324939915
c58,-1.76022196815,3.62579398622,-0.0204408033908
c59,-3.81820006843,2.90402544671,-6.91256161688
c60,-4.80792706682,4.08590343603,-5.09163831887
c62,-1.53327491721,2.82423564295,-1.86244429893
c63,-3.44055386384,3.6645104137,-5.78026856932
c64,-0.289973540058,2.94770619258,-0.270730841887
c66,-1.95707087772,3.55708934907,-1.16355285268
c68,-3.38939137546,2.34217005273,-5.1104900779
c69,-4.2567234822,4.14281120899,-9.78769069639
c70,0.124706293951,2.93670848981,-0.226059006624
c71,-1.21075263165,1.98901449752,-1.3760097619
c72,-4.9808466135,3.8238708638,-5.47813184746
c73,-0.0945177621981,2.04568718524,-1.13748524053
c74,-3.87026503424,5.85169370863,-3.58995809607
c75,-4.97352853755,5.72778410258,-7.6024543576
c76,-4.63711231757,5.67651004251,-7.47543144433
c77,-5.23457775507,5.52291883063,-5.18545530477
c78,-3.84672654727,5.51169088609,-2.17234423547
c79,-5.14858947608,5.83384740865,-5.37514797561
c80,-6.8435376732,5.71454987728,-6.7781973303
c82,-4.00818096345,5.63660958357,-4.11974939669
c81,-4.28402729662,5.78254964088,-5.91607823963
c83,-5.21888627684,5.36669880676,-10.984426949
c84,-4.89617456103,5.69403494669,-6.18091532935
c85,-5.71530962598,5.65858678957,-6.4377445602
c86,-3.40345353177,5.61500960818,-5.37164219529
c87,-4.90938378153,5.61022122921,-5.00421192498
c88,-6.01539693883,5.72564051179,-4.71386854255
c89,-4.79780204216,5.66284022619,-4.57779294344
c90,-4.78299542634,5.60002822169,-4.89337681731
c91,-5.33816901806,5.56466217996,-5.49016996217
c92,-6.36223987835,5.72960773959,-3.61866712781
c93,-2.91159593178,5.42896463198,-0.92038333594
c94,-6.14576348572,5.60140456228,-5.03660968036
c95,-3.90929523288,5.85346687966,-5.75249693522
c96,-3.11641006579,5.56730404515,-0.729613487591
c98,-5.77081961932,5.70794672806,-4.48790439444
c99,-3.04888564043,5.55264561426,-4.47368235859
c100,-4.50970127357,5.64842521357,-4.40499449484
c101,-5.40079562079,5.75250092657,-5.8095526212
c103,-6.81607027655,5.82326866256,-5.39310342774
n1,-1.76559098771,3.53790803841,-1.15806707367
n2,-1.48965321869,3.41941271196,0.0757825903783
n3,-2.47812173321,2.25461166922,-2.95576052955
n4,-3.1430333967,3.99596000341,-1.6259387257
n5,-3.27027767675,2.45195269449,-1.16584717023
n6,-1.56128416094,1.45645901325,-0.505021908737
n7,-3.13474095121,2.98524746191,-1.70939680897
n8,-5.35599582233,3.4984345635,-6.17630008273
n9,-1.39937335861,2.59880599752,-3.38158379661
n10,-1.52120760099,2.91543891361,-1.015867781
n11,-2.19835050734,2.95182668982,-0.736368727787
n12,-3.75444530918,1.8884118791,-2.72758121786
n13,-3.94523197977,4.54960316618,-0.447185060326
n14,-3.81441820251,3.11570647647,-2.3574878118
n15,-2.17895892611,1.49950406386,-1.73662203625
n16,-3.10488087016,2.58719860743,-7.15749900114
n17,-4.14450708175,3.58340148779,-4.98130959498
n18,-3.08315452919,3.91553076321,-2.09753657035
n19,-1.92209581587,3.17321280103,-1.7068293461
n20,-1.87470715114,3.05596092898,-0.96177575396
n21,-1.42345184704,5.2386596717,-1.30682519288
n22,-6.13175127429,5.18068858462,-5.98207371712
n23,-3.15231574404,5.60598298108,-4.10196543661
n24,-3.19457063497,5.55816171465,-2.57070305098
n26,-4.11400266098,5.58335559456,-4.65594597544
n27,-2.08563287499,4.26396880345,-4.65752864999
n28,-4.22036032831,5.5202373474,-5.72230012917
n29,-5.56256902356,5.37964078593,-6.45508427304
n30,-4.59485784174,5.58448431091,-1.41405134558
n31,-4.48143968076,5.6149975512,-5.47767118822
n32,-3.35086979917,5.58884417215,-5.48438447883
n34,-3.77298261556,5.35437947011,-4.81757390074
n35,-4.55426826763,5.3624038305,-7.22269026875
n36,-0.739627351234,1.48400067441,-2.14140647041
n37,-4.39570257388,3.86864155981,-6.65737837929
n38,-2.73225398027,2.55399280999,-2.01308161019
n40,-3.68122614249,2.93119695641,-0.853273794258
n41,-3.97269410531,3.436201962,-1.55401849396
n42,-2.23782142946,2.60480493489,-1.03276991948
n43,-2.94015050573,3.30588364506,-1.47600973627
n44,-2.0450166215,2.80420520361,-1.67223440611
n45,-1.57360984008,2.06618400903,-0.678731197868
n46,-5.78082402955,4.74012686849,-5.71458416895
n47,-3.8448245136,3.07309987137,-7.89231967187
n48,-1.75435993412,1.84857627764,-2.59909348262
n49,-3.65880610888,3.1125354218,-5.10990269865
n50,-3.928859577,3.15668365062,-10.3628910482
n51,-2.36006024484,4.52729348633,-0.519449883757
n52,-1.66677505238,3.99152913914,-1.88983052055
n53,-1.7539253847,3.23665280273,-5.18193425826
n54,-1.59338648994,3.11055526705,-2.26295930561
n56,-5.53209781932,4.29006838096,-4.42910056076
