kernel,y,log_ML,LOO_log_P,R,tau,AUC,hypers,Predicted?,Saved?,alpha
structure,log_mKate,-193.58364174,-181.841673371,0.748594730805,0.536640155425,,Hypers(var_n=0.36524918500939291  var_p=0.83891542775426065),no,False
52Structure,log_GFP,-237.856183928,-229.330913704,0.510280790321,0.270232529901,,Hypers(var_n=1.0000000000000001e-05  ell=6.4803466104903658),no,False
SEStructure,log_GFP,-238.140015271,-230.132522448,0.50157350926,0.271082508652,,Hypers(var_n=0.097997294365338244  sigma_f=0.90940584120218704  ell=6.0656285851257747),no,False
SEStructure,GFP_above_parent,-120.762193729,,,,0.950073964497,Hypers(sigma_f=1.2660462744488732  ell=11.774667435851516),no,False
structure,mKate_above_parent,-52.4428347256,,,,0.951213080169,Hypers(var_p=7.6823310522628168),no,False
lin,log_mKate,-178.457965133,-171.052844463,0.782109680606,0.561410964726,,Hypers(var_n=0.35650251163407676  var_p=0.032915413851224803),no,False,0.017
52,log_GFP,-235.897359406,-229.857538788,0.509367318587,0.287839232591,,Hypers(var_n=0.64229961939450286  ell=4.0789648642403362),no,False,0.014
52,log_cell_ratio,-226.666105156,-217.429683102,0.596869071088,0.412300406776,,Hypers(var_n=0.52280260565116021  ell=5.114049495650792),no,False,0.01
SE,log_cell_ratio,-226.28721954,-217.184652795,0.598799105004,0.415093194099,,Hypers(var_n=0.54078844200654685  sigma_f=1.0805648665288647  ell=4.7138181132484194),no,False,0.01
SE,log_GFP,-235.423217858,-229.531120437,0.511643345217,0.289782041163,,Hypers(var_n=0.63339312743469545  sigma_f=0.68592952660403883  ell=2.1837118119929984),no,False,0.014
