name,mu,var,y
cschrimson,0.444195638946,0.195785298495,0.990861378399
c1c2,1.10013599691,0.199179913236,0.370023849931
cheriff,1.45188675063,0.197653794823,1.93576237301
c1,1.02436158699,0.300111302343,1.14425390676
c2,1.07855513858,0.281732044966,1.39128428368
c3,0.676154381087,0.269000139145,0.263452192779
c4,0.236809663821,0.268524542577,0.136743307233
c5,0.443595031722,0.283759349345,0.828249879653
c6,0.518250942662,0.246205021306,0.870512003841
c7,0.424332044709,0.314132246642,0.860735600256
c8,0.224932777777,0.313315851214,0.0431700430465
c11,0.501696139742,0.270738329148,0.280671396408
c13,0.243186745541,0.30753096119,0.0996661493619
c14,0.592658808017,0.287128151107,0.0559780084995
c15,0.519102777172,0.275474014308,0.0243273809172
c16,0.743496887207,0.323188551905,0.259240301992
c19,0.868493863831,0.311259323983,0.0537733457491
c20,0.290878687199,0.236667907994,0.262538827908
c21,0.574211793966,0.391023835842,4.03880380058
c24,0.487505104309,0.418379803613,1.39576079897
c25,0.196575318092,0.418027760647,0.190343175953
c28,0.49404876389,0.422220683912,0.935754599563
c29,0.344794476942,0.426252843434,0.0791749719601
c30,0.322266270516,0.34178625055,0.0537706208969
c31,0.684877792684,0.418657494681,0.149211893882
c32,0.481548037968,0.396739424577,0.0866942419854
c33,0.285448812993,0.398884319755,0.662395817469
c34,0.495598735685,0.344314220706,1.19017134325
c35,0.631182429062,0.413555785508,0.0637415845296
c36,0.901537446557,0.262209193969,0.312860436465
c37,1.03212160804,0.291934804891,1.45009581368
c39,1.33081431262,0.244942680827,1.51222291155
c40,1.27974945265,0.318567555687,1.68509371477
c41,0.975450114417,0.299973206023,2.10980280435
c42,1.26768987642,0.236128324973,2.56773436452
c43,0.987977112854,0.295572515285,1.86134920386
c44,1.19623992613,0.263209038127,1.19444415914
c46,1.00770940161,0.268577930555,0.209682869912
c47,0.803934785024,0.305036586733,0.307434961687
c48,1.17382890565,0.30028057265,1.48377875801
c49,1.05898766228,0.293270907213,1.38369895843
c50,0.961345091522,0.345250621716,1.39650635481
c51,0.974254861354,0.295848456168,0.130281688871
c52,1.46426634184,0.270924073252,2.33527332342
c53,0.93301691927,0.339081124938,0.152127618395
c54,1.02801987179,0.255483357091,0.969715670806
c55,0.684437433089,0.290662070889,0.0670658590874
c56,0.89398421946,0.286732843989,1.13134456012
c57,0.693356808855,0.298619822308,0.197656783473
c58,0.693440530786,0.295641857233,1.68972006537
c59,0.748536685386,0.304349099917,0.041354361383
c60,0.500710938743,0.323284983215,0.514241913904
c62,0.639891594678,0.272349204044,0.200496967396
c63,0.46146278615,0.306427553232,0.0678817336541
