name,mu,var,y
cschrimson,-0.362400102492,0.216950264481,0.0043799404813
c1c2,-0.362242691619,0.2166208222,0.123709271951
cheriff,-1.76134624611,0.216503544495,-1.54390889432
c1,-1.46274938887,0.236788429346,-0.828563459331
c2,-0.612095877591,0.23157903713,0.0167110169941
c3,-0.56438290306,0.231271038461,-0.440869834335
c4,-0.237202553517,0.228896082473,-0.308732329456
c5,-0.358622091555,0.234953764614,-0.546258834659
c6,-0.36892670972,0.22728294464,-0.459305420039
c7,-0.662799027983,0.234400187463,-0.103673767785
c8,-0.573210688832,0.235949535205,-0.767423404425
c11,-0.485127080409,0.229627172909,0.059669997696
c13,-0.450803209429,0.234602382928,0.00130363573756
c14,-0.402334110337,0.235034950324,-0.222340110789
c15,-0.285963765212,0.230035895943,0.214511194986
c16,0.0174809437023,0.2333157022,0.127020608646
c19,-0.391727048445,0.237404076084,-0.272792835979
c20,-0.328932731474,0.225736351341,-0.103265879525
c21,-0.0493424288501,0.26221321858,-0.931693892686
c24,-0.63813917187,0.273938764229,-1.54968036416
c25,0.0659219062656,0.272240228102,-0.835131593585
c28,-0.360474237183,0.280866794473,-1.10638346283
c29,-1.19409850858,0.280864005822,-1.50227507667
c30,-0.208334753609,0.251457346763,-0.747966568485
c31,-0.633224486766,0.279558013214,-0.733396570483
c32,-1.27052443378,0.261911050665,-0.0763297818458
c33,-0.864301473317,0.264654566288,-1.17383809149
c34,-0.728380039398,0.252770218759,-1.65581862193
c35,-1.29136142674,0.271466733655,-0.880380431423
c36,-1.58009183593,0.23051751237,-1.60978553806
c37,-1.87305907478,0.231643724196,-1.84961559395
c39,-1.71299464017,0.227850425734,-1.93255655183
c40,-1.42059464541,0.234868094393,-2.03983619142
c41,-1.53395311216,0.236375604691,-1.62486365754
c42,-1.45096966236,0.227686867616,-1.3233950842
c43,-1.6872179955,0.235249320193,-2.18250575643
c44,-1.6027035159,0.230828982813,-2.49644742006
c46,-1.62735997444,0.232013378906,-1.72392578915
c47,-1.9030305454,0.235110779626,-1.96921214312
c48,-1.64871919661,0.236986606682,-2.05249142619
c49,-1.58618917747,0.233606319026,-1.83273904586
c50,-1.14298849579,0.236112693596,-0.868351851001
c51,-1.79911418399,0.237388908254,-1.51333840174
c52,-1.76859044178,0.230987824443,-1.65054833166
c53,-1.76804153717,0.24073060975,-1.38535334816
c54,-1.56954183187,0.229726218213,-2.602659617
c55,-0.832841343461,0.232419842486,-0.970088692759
c56,-0.462505981155,0.233836328167,-0.564563556524
c57,-0.195837051937,0.234233010455,0.0958731614368
c58,-0.361667287946,0.235075530917,-0.357225867045
c59,-0.466714110296,0.235066018163,-0.299554290363
c60,-0.967540623558,0.235616391387,-1.2919204513
c62,-0.408748952571,0.231500891662,0.290359656998
c63,-0.368004593724,0.237348763846,-0.214406850219
c64,-0.490979200812,0.229457369456,-0.183932781305
c66,-0.380366570659,0.235526709103,0.600593776044
c69,-0.718341697135,0.23531336441,-0.938623346547
c70,-0.0653032211873,0.230053760376,-0.432557946977
c71,-0.0187405446406,0.230229041206,-0.205262821253
c72,-0.27026944301,0.238452095022,-0.708757303871
c73,-0.285398926828,0.226236972658,-1.58387962915
c74,-0.589408443244,0.274646651213,-1.48059159693
c75,-1.05142049187,0.281717102359,-1.22084122636
c76,-0.905495801504,0.272440239479,-0.862300726587
c77,-0.832656111108,0.269707224971,-0.162827131519
c78,-0.0665939023137,0.273867600308,0.505332973973
c79,-0.796214159436,0.277994543988,-0.329564965358
c80,-1.22185877238,0.272290838302,-0.754262841031
c81,-0.188090456326,0.268793505816,0.341991122971
c83,-1.25402438516,0.266172033576,-1.42682299525
c84,-0.998198925513,0.272318107793,-0.532841501125
c85,-0.254957663653,0.271220425299,0.133587590137
c86,-0.302837878424,0.272527301059,0.540473648181
c87,-0.65860103654,0.270984444446,0.188530114783
c88,-1.20645829798,0.27647011635,-1.14259270468
c89,-1.23294688345,0.288531902988,-1.22544569082
c90,-0.0150912773383,0.261171265031,0.0938236559842
c92,-1.25676207595,0.276155025584,-1.86897858351
c93,-0.191144123413,0.259098138558,-0.196611180438
c95,-0.572222391218,0.270975891173,-0.923904007435
c96,-0.15664454032,0.264462780568,0.0715239712736
c103,-1.68088982421,0.269283582715,-0.860929117255
n1,-1.45573015261,0.235315844182,-0.609419757811
n2,-0.598273034336,0.233302706737,-0.0342440307739
n3,-0.603457528598,0.225869789128,-1.19992247088
n4,-0.479441046355,0.235196246175,-0.738732696649
n5,-0.283033961551,0.228215328482,0.131699017742
n6,-0.355803757529,0.222256725841,-0.0403237691655
n7,-0.550547998129,0.233941897227,-0.637583754494
n8,-0.607942328196,0.232202786238,-0.294745095855
n9,-0.430777498695,0.228901383288,-0.151837670498
n10,-0.494993344411,0.234531785343,0.069430475543
n11,-0.483634002026,0.230750157963,-0.55800454977
n12,-0.565989066251,0.226059035281,-1.21902606115
n13,-0.477876105485,0.23782787019,-0.326453957892
n14,-0.361576607622,0.232663077361,-0.113615557375
n15,-0.335083208936,0.221130809148,-0.260757925841
n16,-0.340232778087,0.229835339963,-1.14102702449
n17,-0.583895350143,0.232189494561,-0.60679169969
n18,-0.0978297081194,0.234586116244,-0.775796335435
n19,-0.225535199131,0.233064276707,-0.154332545888
n20,-0.290433699691,0.231231493438,-0.109989031518
n21,-0.446852054971,0.252932506596,-0.327114292182
n22,-0.430926604508,0.25465344216,-0.848603494019
