kernel,y,log_ML,LOO_log_P,R,tau,AUC,hypers,Predicted?,Saved?,alpha
SE,log_intensity_ratio,-180.7597693,-160.4944766,0.768381378,0.578824388,,Hypers(var_n=0.22380910675535079  sigma_f=1.1742539968232315  ell=3.3267182743460295),no,FALSE,0.0195
32,log_intensity_ratio,-181.1755909,-159.3372926,0.772822829,0.577364001,,Hypers(var_n=0.17698346231324391  ell=3.5658837767292124),no,FALSE,0.0195
lin,log_intensity_ratio,-184.356504,-168.8367706,0.736288646,0.545235487,,Hypers(var_n=0.36456645804928667  var_p=0.077570688209343111),no,FALSE,0.0195
lin,log_mKate,-153.9497739,-141.0291628,0.823068213,0.615041986,,Hypers(var_n=0.27570862888082182  var_p=0.036794883266231856),no,FALSE,0.009
52,log_sum_ratio,-175.1426588,-152.6663337,0.77569117,0.559693319,,Hypers(var_n=0.081493332236595259  ell=3.2899168675529515),no,FALSE,0.0185
SE,log_sum_ratio,-174.7362314,-154.8856252,0.770315712,0.565534867,,Hypers(var_n=0.11706633937158752  sigma_f=1.2029158934027999  ell=3.4431347903430582),no,FALSE,0.0185
lin,log_sum_ratio,-179.3168144,-158.4754044,0.770025365,0.576633808,,Hypers(var_n=0.29172489247686362  var_p=0.076129215372031225),no,FALSE,0.0185
32,log_sum_ratio,-175.4666266,-152.230682,0.777035784,0.558671048,,Hypers(var_n=0.072212661136401901  ell=3.6097246239456284),no,FALSE,0.0185
lin_subblocks,log_mKate,-171.018264747,-163.206258124,0.760339642378,0.542314713399,,Hypers(var_n=0.38107207122459102  var_p=0.054286730709085691),no,False,0.0105
52_subblocks,log_mKate,-216.829664417,-204.968593614,0.534417215349,0.458152786963,,Hypers(var_n=0.21872167208960905  ell=0.10000629629326359),no,False,0.0105
SE_subblocks,log_mKate,-169.992169621,-160.391311294,0.769089636854,0.553413654618,,Hypers(var_n=0.32814235423357635  sigma_f=0.85166104205626492  ell=2.8909057108847933),no,False,0.0105
SE_subblocks,log_GFP,-208.016417708,-192.002568499,0.658855677747,0.47426067908,,Hypers(var_n=0.36213024717060227  sigma_f=0.85990655053059861  ell=1.445228130070586),no,False,0.022
52_subblocks,log_intensity_ratio,-214.127009337,-203.638856384,0.576070679909,0.398320554947,,Hypers(var_n=0.51671338280800305  ell=2.7172534646791937),no,False,0.0175
SE_subblocks,log_intensity_ratio,-213.245154025,-202.980144021,0.581912978372,0.402409638554,,Hypers(var_n=0.51954978730302581  sigma_f=0.79476804231053233  ell=1.840858431280209),no,False,0.0175
32_subblocks,log_intensity_ratio,-214.59645055,-204.246377893,0.572126888646,0.396860167945,,Hypers(var_n=0.51329775299216973  ell=3.0965857502925962),no,False,0.0175
SE_subblocks,log_sum_ratio,-204.510371292,-181.187896991,0.705133525185,0.519678714859,,Hypers(var_n=0.16306335155375079  sigma_f=1.0291596950871722  ell=1.672968114198857),no,False,0.014
52_subblocks,log_sum_ratio,-202.961019439,-179.362279946,0.711141917901,0.521723256663,,Hypers(var_n=0.13041558526750191  ell=1.7802261484975759),no,False,0.014
lin_subblocks,log_sum_ratio,-229.821048727,-223.840563088,0.359537090021,0.239430449069,,Hypers(var_n=0.79652482212696663  var_p=0.042234732085374135),no,False,0.014
32_subblocks,log_sum_ratio,-202.568138138,-179.105318159,0.710479570075,0.523767798467,,Hypers(var_n=0.11957531472981923  ell=1.9048357080716891),no,False,0.014
32_subblocks,log_sum_ratio,-198.734782838,-175.289742823,0.71713732582,0.526396495071,,Hypers(var_n=0.13278733664289796  ell=1.8426667130316128),no,False,0.023
SE_subblocks,log_sum_ratio,-199.689681222,-175.433180119,0.720623990024,0.523767798467,,Hypers(var_n=0.15045421242022378  sigma_f=1.0325577065234099  ell=1.5432065539040341),no,False,0.023
SE_subblocks,log_sum_ratio,-203.466289654,-181.196294425,0.704172166519,0.517342095655,,Hypers(var_n=0.22163780832813759  sigma_f=1.0013808467238456  ell=1.5581000867341106),no,False,0.028
SE_subblocks,log_GFP,-235.042284416,-235.04228442,-0.10939886587,-0.475136911281,,Hypers(var_n=0.99397544927328196  sigma_f=1.0000000000000001e-05  ell=0.91045033259680563),no,False,0.0194285714286
52_subblocks,log_GFP,-237.261265159,-235.480993073,0.0097537069641,-0.475136911281,,Hypers(var_n=0.98997072368557759  ell=5.9647349993752812),no,False,0.019
SE_subblocks,log_sum_ratio,-235.042284416,-235.042284419,-0.0978382690404,-0.488572471705,,Hypers(var_n=0.99397532094935725  sigma_f=1.0000000000000001e-05  ell=0.91385640152789904),no,False,0.008
lin_subblocks,log_mKate,-170.200015892,-163.738229668,0.759343004271,0.464330047463,,Hypers(var_n=0.40229651610729383  var_p=0.14555041524763615),no,False,0.023
structure,log_mKate,-180.027449589,-170.027241194,0.734418411352,0.520993063162,,{'var_n': 0.38681591051421549  'var_p': 0.73163187091785387},no,True

structure,mKate_above_parent,-66.8213883837,,,,0.913852813853,{'var_p': 4.5776573385050581},no,True
