kernel,y,log_ML,LOO_log_P,R,tau,AUC,hypers,Predicted?,Saved?,alpha
structure,log_mKate,-209.396869483,-198.099187306,0.720388833184,0.514465833615,,{'var_n': 0.4113054932283749  'var_p': 0.74351691953583632},no,True
52Structure,log_mKate,-211.495683066,-200.188527514,0.714305402442,0.502758077226,,{'var_n': 0.37800743612946919  'ell': 34.070239426466223},no,True
SEStructure,log_mKate,-210.675348964,-198.995358554,0.71758557308,0.510638297872,,{'var_n': 0.3982998053419744  'sigma_f': 1.4405976321832601  'ell': 41.524405344937065},no,True
SEStructure,log_GFP,-239.292352951,-222.166518625,0.646973447426,0.465158167286,,{'var_n': 0.29824586391651553  'sigma_f': 0.89610832419784681  'ell': 12.089248733880172},no,True
structure,log_GFP,-259.928514245,-247.215669732,0.452319656156,0.310930991782,,Hypers(var_n=0.70266059043666618  var_p=1.2624052277426825),no,False
52Structure,log_GFP,-238.475703431,-220.732112146,0.655248110425,0.468310255544,,Hypers(var_n=0.20291808650486107  ell=13.074374820680445),no,False
structure,mKate_above_parent,-67.8675384087,,,,0.920703125,{'var_p': 6.0927285019893009},no,True
SEStructure,mKate_above_parent,-133.084258668,,,,0.5,Hypers(sigma_f=1.1732360873421805e-05  ell=0.9077250096169629),no,False
lin,log_mKate,-193.407861341,-183.70656784,0.766939201135,0.557356748846,,Hypers(var_n=0.3770659270423864  var_p=0.031301329521100152),no,False,0.019
52,log_GFP,-210.481057754,-185.70403044,0.765605473619,0.57345491388,,Hypers(var_n=0.18324937230006  ell=3.7675772881130567),no,False,0.01
52,log_intensity_ratio,-219.158283036,-198.486998754,0.730175291373,0.541596307554,,Hypers(var_n=0.26955559585921662  ell=4.408960796384779),no,False,0.011
