code,n_mutations
n0202020001,61
c0202020001,65
n0202020002,63
c0202020002,62
n0202020010,64
c0202020010,53
n0202020011,72
c0202020011,73
n0202020012,74
c0202020012,70
n0202020020,62
c0202020020,61
n0202020021,70
c0202020021,81
n0202020022,72
c0202020022,78
n0202020100,57
c0202020100,51
n0202020101,65
c0202020101,71
n0202020102,67
c0202020102,68
n0202020110,68
c0202020110,59
n0202020111,76
c0202020111,79
n0202020112,78
c0202020112,76
n0202020120,66
c0202020120,67
n0202020121,74
c0202020121,87
n0202020122,76
c0202020122,81
n0202020200,64
c0202020200,55
n0202020201,72
c0202020201,75
n0202020202,74
c0202020202,72
n0202020210,75
c0202020210,63
n0202020211,83
c0202020211,83
n0202020212,85
c0202020212,80
n0202020220,73
c0202020220,71
n0202020221,81
c0202020221,80
n0202020222,78
c0202020222,73
n0202021000,93
c0202021000,62
n0202021001,101
c0202021001,82
n0202021002,99
c0202021002,79
n0202021010,104
c0202021010,70
n0202021011,99
c0202021011,90
n0202021012,105
c0202021012,87
n0202021020,100
c0202021020,78
n0202021021,96
c0202021021,83
n0202021022,90
c0202021022,76
n0202021100,97
c0202021100,68
n0202021101,104
c0202021101,88
n0202021102,98
c0202021102,85
n0202021110,103
c0202021110,76
n0202021111,95
c0202021111,96
n0202021112,101
c0202021112,92
n0202021120,99
c0202021120,84
n0202021121,95
c0202021121,81
n0202021122,89
c0202021122,74
n0202021200,98
c0202021200,72
n0202021201,94
c0202021201,89
n0202021202,88
c0202021202,82
n0202021210,105
c0202021210,80
n0202021211,101
c0202021211,91
n0202021212,95
c0202021212,84
n0202021220,89
c0202021220,83
n0202021221,85
c0202021221,73
n0202021222,79
c0202021222,66
n0202022000,76
c0202022000,62
n0202022001,72
c0202022001,82
n0202022002,66
c0202022002,79
n0202022010,83
c0202022010,70
n0202022011,79
c0202022011,90
n0202022012,73
c0202022012,84
n0202022020,67
c0202022020,78
n0202022021,63
c0202022021,73
n0202022022,57
c0202022022,66
n0202022100,75
c0202022100,68
n0202022101,71
c0202022101,87
n0202022102,65
c0202022102,80
n0202022110,82
c0202022110,76
n0202022111,78
c0202022111,89
n0202022112,72
c0202022112,82
n0202022120,66
c0202022120,81
n0202022121,62
c0202022121,71
n0202022122,56
c0202022122,64
n0202022200,65
c0202022200,72
n0202022201,61
c0202022201,79
n0202022202,55
c0202022202,72
n0202022210,72
c0202022210,80
n0202022211,68
c0202022211,81
n0202022212,62
c0202022212,74
n0202022220,56
c0202022220,73
n0202022221,52
c0202022221,63
n0202022222,46
c0202022222,56
n0202100000,64
c0202100000,25
n0202100001,72
c0202100001,45
n0202100002,74
c0202100002,42
n0202100010,75
c0202100010,33
n0202100011,83
c0202100011,53
n0202100012,85
c0202100012,50
n0202100020,73
c0202100020,41
n0202100021,81
c0202100021,61
n0202100022,83
c0202100022,58
n0202100100,68
c0202100100,31
n0202100101,76
c0202100101,51
n0202100102,78
c0202100102,48
n0202100110,79
c0202100110,39
n0202100111,87
c0202100111,59
n0202100112,89
c0202100112,56
n0202100120,77
c0202100120,47
n0202100121,85
c0202100121,67
n0202100122,87
c0202100122,64
n0202100200,75
c0202100200,35
n0202100201,83
c0202100201,55
n0202100202,85
c0202100202,52
n0202100210,86
c0202100210,43
n0202100211,94
c0202100211,63
n0202100212,94
c0202100212,60
n0202100220,84
c0202100220,51
n0202100221,84
c0202100221,71
n0202100222,78
c0202100222,68
n0202101000,99
c0202101000,42
n0202101001,91
c0202101001,62
n0202101002,97
c0202101002,59
n0202101010,88
c0202101010,50
n0202101011,80
c0202101011,70
n0202101012,86
c0202101012,67
n0202101020,100
c0202101020,58
n0202101021,96
c0202101021,78
n0202101022,90
c0202101022,75
n0202101100,95
c0202101100,48
n0202101101,87
c0202101101,68
n0202101102,93
c0202101102,65
n0202101110,84
c0202101110,56
n0202101111,76
c0202101111,76
n0202101112,82
c0202101112,73
n0202101120,99
c0202101120,64
n0202101121,92
c0202101121,84
n0202101122,89
c0202101122,81
n0202101200,98
c0202101200,52
n0202101201,94
c0202101201,72
n0202101202,88
c0202101202,69
n0202101210,94
c0202101210,60
n0202101211,86
c0202101211,80
n0202101212,92
c0202101212,77
n0202101220,89
c0202101220,68
n0202101221,85
c0202101221,88
n0202101222,79
c0202101222,85
n0202102000,76
c0202102000,42
n0202102001,72
c0202102001,62
n0202102002,66
c0202102002,59
n0202102010,83
c0202102010,50
n0202102011,79
c0202102011,70
n0202102012,73
c0202102012,67
n0202102020,67
c0202102020,58
n0202102021,63
c0202102021,78
n0202102022,57
c0202102022,75
n0202102100,75
c0202102100,48
n0202102101,71
c0202102101,68
n0202102102,65
c0202102102,65
n0202102110,82
c0202102110,56
n0202102111,78
c0202102111,76
n0202102112,72
c0202102112,73
n0202102120,66
c0202102120,64
n0202102121,62
c0202102121,84
n0202102122,56
c0202102122,81
n0202102200,65
c0202102200,52
n0202102201,61
c0202102201,72
n0202102202,55
c0202102202,69
n0202102210,72
c0202102210,60
n0202102211,68
c0202102211,80
n0202102212,62
c0202102212,77
n0202102220,56
c0202102220,68
n0202102221,52
c0202102221,84
n0202102222,46
c0202102222,77
n0202110000,81
c0202110000,46
n0202110001,89
c0202110001,66
n0202110002,91
c0202110002,63
n0202110010,92
c0202110010,54
n0202110011,100
c0202110011,74
n0202110012,102
c0202110012,71
n0202110020,90
c0202110020,62
n0202110021,92
c0202110021,82
n0202110022,86
c0202110022,79
n0202110100,85
c0202110100,52
n0202110101,93
c0202110101,72
n0202110102,94
c0202110102,69
n0202110110,96
c0202110110,60
n0202110111,99
c0202110111,80
n0202110112,101
c0202110112,77
n0202110120,94
c0202110120,68
n0202110121,91
c0202110121,88
n0202110122,85
c0202110122,85
n0202110200,92
c0202110200,56
n0202110201,90
c0202110201,76
n0202110202,84
c0202110202,73
n0202110210,101
c0202110210,64
n0202110211,97
c0202110211,84
n0202110212,91
c0202110212,81
n0202110220,85
c0202110220,72
n0202110221,81
c0202110221,92
n0202110222,75
c0202110222,89
n0202111000,82
c0202111000,63
n0202111001,74
c0202111001,83
n0202111002,80
c0202111002,80
n0202111010,71
c0202111010,71
n0202111011,63
c0202111011,78
n0202111012,69
c0202111012,85
n0202111020,87
c0202111020,79
n0202111021,79
c0202111021,96
n0202111022,85
c0202111022,96
n0202111100,78
c0202111100,69
n0202111101,70
c0202111101,80
n0202111102,76
c0202111102,86
n0202111110,67
c0202111110,77
n0202111111,59
c0202111111,72
n0202111112,65
c0202111112,79
n0202111120,83
c0202111120,85
n0202111121,75
c0202111121,90
n0202111122,81
c0202111122,97
n0202111200,88
c0202111200,73
n0202111201,80
c0202111201,88
n0202111202,85
c0202111202,90
n0202111210,77
c0202111210,81
n0202111211,69
c0202111211,80
n0202111212,75
c0202111212,87
n0202111220,86
c0202111220,89
n0202111221,82
c0202111221,97
n0202111222,76
c0202111222,90
n0202112000,73
c0202112000,63
n0202112001,69
c0202112001,83
n0202112002,63
c0202112002,80
n0202112010,80
c0202112010,71
n0202112011,76
c0202112011,88
n0202112012,70
c0202112012,88
n0202112020,64
c0202112020,79
n0202112021,60
c0202112021,97
n0202112022,54
c0202112022,90
n0202112100,72
c0202112100,69
n0202112101,68
c0202112101,89
n0202112102,62
c0202112102,86
n0202112110,79
c0202112110,77
n0202112111,75
c0202112111,82
n0202112112,69
c0202112112,89
n0202112120,63
c0202112120,85
n0202112121,59
c0202112121,95
n0202112122,53
c0202112122,88
n0202112200,62
c0202112200,73
n0202112201,58
c0202112201,93
n0202112202,52
c0202112202,90
n0202112210,69
c0202112210,81
n0202112211,65
c0202112211,90
n0202112212,59
c0202112212,97
n0202112220,53
c0202112220,89
n0202112221,49
c0202112221,87
n0202112222,43
c0202112222,80
n0202120000,78
c0202120000,50
n0202120001,86
c0202120001,70
n0202120002,84
c0202120002,67
n0202120010,89
c0202120010,58
n0202120011,97
c0202120011,78
n0202120012,91
c0202120012,75
n0202120020,85
c0202120020,66
n0202120021,81
c0202120021,86
n0202120022,75
c0202120022,79
n0202120100,82
c0202120100,56
n0202120101,89
c0202120101,76
n0202120102,83
c0202120102,73
n0202120110,93
c0202120110,64
n0202120111,96
c0202120111,84
n0202120112,90
c0202120112,81
n0202120120,84
c0202120120,72
n0202120121,80
c0202120121,84
n0202120122,74
c0202120122,77
n0202120200,83
c0202120200,60
n0202120201,79
c0202120201,80
n0202120202,73
c0202120202,77
n0202120210,90
c0202120210,68
n0202120211,86
c0202120211,88
n0202120212,80
c0202120212,85
n0202120220,74
c0202120220,76
n0202120221,70
c0202120221,76
n0202120222,64
c0202120222,69
n0202121000,93
c0202121000,67
n0202121001,85
c0202121001,87
n0202121002,85
c0202121002,84
n0202121010,82
c0202121010,75
n0202121011,74
c0202121011,95
n0202121012,80
c0202121012,90
n0202121020,86
c0202121020,83
n0202121021,82
c0202121021,79
n0202121022,76
c0202121022,72
n0202121100,89
c0202121100,73
n0202121101,81
c0202121101,93
n0202121102,84
c0202121102,86
n0202121110,78
c0202121110,81
n0202121111,70
c0202121111,95
n0202121112,76
c0202121112,88
n0202121120,85
c0202121120,87
n0202121121,81
c0202121121,77
n0202121122,75
c0202121122,70
n0202121200,84
c0202121200,77
n0202121201,80
c0202121201,85
n0202121202,74
c0202121202,78
n0202121210,88
c0202121210,85
n0202121211,80
c0202121211,87
n0202121212,81
c0202121212,80
n0202121220,75
c0202121220,79
n0202121221,71
c0202121221,69
n0202121222,65
c0202121222,62
n0202122000,62
c0202122000,67
n0202122001,58
c0202122001,85
n0202122002,52
c0202122002,78
n0202122010,69
c0202122010,75
n0202122011,65
c0202122011,87
n0202122012,59
c0202122012,80
n0202122020,53
c0202122020,79
n0202122021,49
c0202122021,69
n0202122022,43
c0202122022,62
n0202122100,61
c0202122100,73
n0202122101,57
c0202122101,83
n0202122102,51
c0202122102,76
n0202122110,68
c0202122110,81
n0202122111,64
c0202122111,85
n0202122112,58
c0202122112,78
n0202122120,52
c0202122120,77
n0202122121,48
c0202122121,67
n0202122122,42
c0202122122,60
n0202122200,51
c0202122200,77
n0202122201,47
c0202122201,75
n0202122202,41
c0202122202,68
n0202122210,58
c0202122210,85
n0202122211,54
c0202122211,77
n0202122212,48
c0202122212,70
n0202122220,42
c0202122220,69
n0202122221,38
c0202122221,59
n0202122222,32
c0202122222,52
n0202200000,63
c0202200000,30
n0202200001,71
c0202200001,50
n0202200002,73
c0202200002,47
n0202200010,74
c0202200010,38
n0202200011,82
c0202200011,58
n0202200012,84
c0202200012,55
n0202200020,72
c0202200020,46
n0202200021,80
c0202200021,66
n0202200022,79
c0202200022,63
n0202200100,67
c0202200100,36
n0202200101,75
c0202200101,56
n0202200102,77
c0202200102,53
n0202200110,78
c0202200110,44
n0202200111,86
c0202200111,64
n0202200112,88
c0202200112,61
n0202200120,76
c0202200120,52
n0202200121,84
c0202200121,72
n0202200122,78
c0202200122,69
n0202200200,74
c0202200200,40
n0202200201,82
c0202200201,60
n0202200202,77
c0202200202,57
n0202200210,85
c0202200210,48
n0202200211,90
c0202200211,68
n0202200212,84
c0202200212,65
n0202200220,78
c0202200220,56
n0202200221,74
c0202200221,76
n0202200222,68
c0202200222,73
n0202201000,99
c0202201000,47
n0202201001,95
c0202201001,67
n0202201002,89
c0202201002,64
n0202201010,98
c0202201010,55
n0202201011,90
c0202201011,75
n0202201012,96
c0202201012,72
n0202201020,90
c0202201020,63
n0202201021,86
c0202201021,83
n0202201022,80
c0202201022,80
n0202201100,98
c0202201100,53
n0202201101,94
c0202201101,73
n0202201102,88
c0202201102,70
n0202201110,94
c0202201110,61
n0202201111,86
c0202201111,81
n0202201112,92
c0202201112,78
n0202201120,89
c0202201120,69
n0202201121,85
c0202201121,89
n0202201122,79
c0202201122,86
n0202201200,88
c0202201200,57
n0202201201,84
c0202201201,77
n0202201202,78
c0202201202,74
n0202201210,95
c0202201210,65
n0202201211,91
c0202201211,85
n0202201212,85
c0202201212,82
n0202201220,79
c0202201220,73
n0202201221,75
c0202201221,88
n0202201222,69
c0202201222,81
n0202202000,66
c0202202000,47
n0202202001,62
c0202202001,67
n0202202002,56
c0202202002,64
n0202202010,73
c0202202010,55
n0202202011,69
c0202202011,75
n0202202012,63
c0202202012,72
n0202202020,57
c0202202020,63
n0202202021,53
c0202202021,83
n0202202022,47
c0202202022,80
n0202202100,65
c0202202100,53
n0202202101,61
c0202202101,73
n0202202102,55
c0202202102,70
n0202202110,72
c0202202110,61
n0202202111,68
c0202202111,81
n0202202112,62
c0202202112,78
n0202202120,56
c0202202120,69
n0202202121,52
c0202202121,86
n0202202122,46
c0202202122,79
n0202202200,55
c0202202200,57
n0202202201,51
c0202202201,77
n0202202202,45
c0202202202,74
n0202202210,62
c0202202210,65
n0202202211,58
c0202202211,85
n0202202212,52
c0202202212,82
n0202202220,46
c0202202220,73
n0202202221,42
c0202202221,78
n0202202222,36
c0202202222,71
n0202210000,80
c0202210000,51
n0202210001,88
c0202210001,71
n0202210002,85
c0202210002,68
n0202210010,91
c0202210010,59
n0202210011,98
c0202210011,79
n0202210012,92
c0202210012,76
n0202210020,86
c0202210020,67
n0202210021,82
c0202210021,87
n0202210022,76
c0202210022,84
n0202210100,84
c0202210100,57
n0202210101,90
c0202210101,77
n0202210102,84
c0202210102,74
n0202210110,95
c0202210110,65
n0202210111,97
c0202210111,85
n0202210112,91
c0202210112,82
n0202210120,85
c0202210120,73
n0202210121,81
c0202210121,93
n0202210122,75
c0202210122,90
n0202210200,84
c0202210200,61
n0202210201,80
c0202210201,81
n0202210202,74
c0202210202,78
n0202210210,91
c0202210210,69
n0202210211,87
c0202210211,89
n0202210212,81
c0202210212,86
n0202210220,75
c0202210220,77
n0202210221,71
c0202210221,97
n0202210222,65
c0202210222,91
n0202211000,92
c0202211000,68
n0202211001,84
c0202211001,88
n0202211002,86
c0202211002,85
n0202211010,81
c0202211010,76
n0202211011,73
c0202211011,84
n0202211012,79
c0202211012,91
n0202211020,87
c0202211020,84
n0202211021,83
c0202211021,101
n0202211022,77
c0202211022,94
n0202211100,88
c0202211100,74
n0202211101,80
c0202211101,86
n0202211102,85
c0202211102,91
n0202211110,77
c0202211110,82
n0202211111,69
c0202211111,78
n0202211112,75
c0202211112,85
n0202211120,86
c0202211120,90
n0202211121,82
c0202211121,96
n0202211122,76
c0202211122,92
n0202211200,85
c0202211200,78
n0202211201,81
c0202211201,94
n0202211202,75
c0202211202,95
n0202211210,87
c0202211210,86
n0202211211,79
c0202211211,86
n0202211212,82
c0202211212,93
n0202211220,76
c0202211220,94
n0202211221,72
c0202211221,91
n0202211222,66
c0202211222,84
n0202212000,63
c0202212000,68
n0202212001,59
c0202212001,88
n0202212002,53
c0202212002,85
n0202212010,70
c0202212010,76
n0202212011,66
c0202212011,94
n0202212012,60
c0202212012,93
n0202212020,54
c0202212020,84
n0202212021,50
c0202212021,91
n0202212022,44
c0202212022,84
n0202212100,62
c0202212100,74
n0202212101,58
c0202212101,94
n0202212102,52
c0202212102,91
n0202212110,69
c0202212110,82
n0202212111,65
c0202212111,88
n0202212112,59
c0202212112,95
n0202212120,53
c0202212120,90
n0202212121,49
c0202212121,89
n0202212122,43
c0202212122,82
n0202212200,52
c0202212200,78
n0202212201,48
c0202212201,97
n0202212202,42
c0202212202,90
n0202212210,59
c0202212210,86
n0202212211,55
c0202212211,96
n0202212212,49
c0202212212,92
n0202212220,43
c0202212220,91
n0202212221,39
c0202212221,81
n0202212222,33
c0202212222,74
n0202220000,77
c0202220000,55
n0202220001,80
c0202220001,75
n0202220002,74
c0202220002,72
n0202220010,88
c0202220010,63
n0202220011,87
c0202220011,83
n0202220012,81
c0202220012,80
n0202220020,75
c0202220020,71
n0202220021,71
c0202220021,80
n0202220022,65
c0202220022,73
n0202220100,81
c0202220100,61
n0202220101,79
c0202220101,81
n0202220102,73
c0202220102,78
n0202220110,90
c0202220110,69
n0202220111,86
c0202220111,89
n0202220112,80
c0202220112,86
n0202220120,74
c0202220120,77
n0202220121,70
c0202220121,78
n0202220122,64
c0202220122,71
n0202220200,73
c0202220200,65
n0202220201,69
c0202220201,85
n0202220202,63
c0202220202,79
n0202220210,80
c0202220210,73
n0202220211,76
c0202220211,88
n0202220212,70
c0202220212,81
n0202220220,64
c0202220220,80
n0202220221,60
c0202220221,70
n0202220222,54
c0202220222,63
n0202221000,85
c0202221000,72
n0202221001,81
c0202221001,89
n0202221002,75
c0202221002,82
n0202221010,92
c0202221010,80
n0202221011,84
c0202221011,91
n0202221012,82
c0202221012,84
n0202221020,76
c0202221020,83
n0202221021,72
c0202221021,73
n0202221022,66
c0202221022,66
n0202221100,84
c0202221100,78
n0202221101,80
c0202221101,87
n0202221102,74
c0202221102,80
n0202221110,88
c0202221110,86
n0202221111,80
c0202221111,89
n0202221112,81
c0202221112,82
n0202221120,75
c0202221120,81
n0202221121,71
c0202221121,71
n0202221122,65
c0202221122,64
n0202221200,74
c0202221200,82
n0202221201,70
c0202221201,79
n0202221202,64
c0202221202,72
n0202221210,81
c0202221210,90
n0202221211,77
c0202221211,81
n0202221212,71
c0202221212,74
n0202221220,65
c0202221220,73
n0202221221,61
c0202221221,63
n0202221222,55
c0202221222,56
n0202222000,52
c0202222000,72
n0202222001,48
c0202222001,79
n0202222002,42
c0202222002,72
n0202222010,59
c0202222010,80
n0202222011,55
c0202222011,81
n0202222012,49
c0202222012,74
n0202222020,43
c0202222020,73
n0202222021,39
c0202222021,63
n0202222022,33
c0202222022,56
n0202222100,51
c0202222100,78
n0202222101,47
c0202222101,77
n0202222102,41
c0202222102,70
n0202222110,58
c0202222110,86
n0202222111,54
c0202222111,79
n0202222112,48
c0202222112,72
n0202222120,42
c0202222120,71
n0202222121,38
c0202222121,61
n0202222122,32
c0202222122,54
n0202222200,41
c0202222200,79
n0202222201,37
c0202222201,69
n0202222202,31
c0202222202,62
n0202222210,48
c0202222210,81
n0202222211,44
c0202222211,71
n0202222212,38
c0202222212,64
n0202222220,32
c0202222220,63
n0202222221,28
c0202222221,53
n0202222222,22
c0202222222,46
n0210000000,54
c0210000000,33
n0210000001,62
c0210000001,53
n0210000002,64
c0210000002,50
n0210000010,65
c0210000010,41
n0210000011,73
c0210000011,61
n0210000012,75
c0210000012,58
n0210000020,63
c0210000020,49
n0210000021,71
c0210000021,69
n0210000022,73
c0210000022,66
n0210000100,58
c0210000100,39
n0210000101,66
c0210000101,59
n0210000102,68
c0210000102,56
n0210000110,69
c0210000110,47
n0210000111,77
c0210000111,67
n0210000112,79
c0210000112,64
n0210000120,67
c0210000120,55
n0210000121,75
c0210000121,75
n0210000122,77
c0210000122,72
n0210000200,65
c0210000200,43
n0210000201,73
c0210000201,63
n0210000202,75
c0210000202,60
n0210000210,76
c0210000210,51
n0210000211,84
c0210000211,71
n0210000212,86
c0210000212,68
n0210000220,74
c0210000220,59
n0210000221,82
c0210000221,79
n0210000222,84
c0210000222,76
n0210001000,94
c0210001000,50
n0210001001,98
c0210001001,70
n0210001002,104
c0210001002,67
n0210001010,95
c0210001010,58
n0210001011,87
c0210001011,78
n0210001012,93
c0210001012,75
n0210001020,103
c0210001020,66
n0210001021,103
c0210001021,86
n0210001022,109
c0210001022,83
n0210001100,98
c0210001100,56
n0210001101,94
c0210001101,76
n0210001102,100
c0210001102,73
n0210001110,91
c0210001110,64
n0210001111,83
c0210001111,74
n0210001112,89
c0210001112,81
n0210001120,107
c0210001120,72
n0210001121,99
c0210001121,92
n0210001122,105
c0210001122,89
n0210001200,105
c0210001200,60
n0210001201,104
c0210001201,80
n0210001202,109
c0210001202,77
n0210001210,101
c0210001210,68
n0210001211,93
c0210001211,82
n0210001212,99
c0210001212,85
n0210001220,110
c0210001220,76
n0210001221,106
c0210001221,96
n0210001222,100
c0210001222,93
n0210002000,86
c0210002000,50
n0210002001,93
c0210002001,70
n0210002002,87
c0210002002,67
n0210002010,97
c0210002010,58
n0210002011,100
c0210002011,78
n0210002012,94
c0210002012,75
n0210002020,88
c0210002020,66
n0210002021,84
c0210002021,86
n0210002022,78
c0210002022,83
n0210002100,90
c0210002100,56
n0210002101,92
c0210002101,76
n0210002102,86
c0210002102,73
n0210002110,101
c0210002110,64
n0210002111,99
c0210002111,84
n0210002112,93
c0210002112,81
n0210002120,87
c0210002120,72
n0210002121,83
c0210002121,92
n0210002122,77
c0210002122,89
n0210002200,86
c0210002200,60
n0210002201,82
c0210002201,80
n0210002202,76
c0210002202,77
n0210002210,93
c0210002210,68
n0210002211,89
c0210002211,88
n0210002212,83
c0210002212,85
n0210002220,77
c0210002220,76
n0210002221,73
c0210002221,96
n0210002222,67
c0210002222,93
n0210010000,71
c0210010000,54
n0210010001,79
c0210010001,74
n0210010002,81
c0210010002,71
n0210010010,82
c0210010010,62
n0210010011,90
c0210010011,76
n0210010012,92
c0210010012,79
n0210010020,80
c0210010020,70
n0210010021,88
c0210010021,90
n0210010022,90
c0210010022,87
n0210010100,75
c0210010100,60
n0210010101,83
c0210010101,78
n0210010102,85
c0210010102,77
n0210010110,86
c0210010110,68
n0210010111,94
c0210010111,70
n0210010112,96
c0210010112,77
n0210010120,84
c0210010120,76
n0210010121,92
c0210010121,88
n0210010122,94
c0210010122,93
n0210010200,82
c0210010200,64
n0210010201,90
c0210010201,84
n0210010202,92
c0210010202,81
n0210010210,93
c0210010210,72
n0210010211,101
c0210010211,78
n0210010212,103
c0210010212,85
n0210010220,91
c0210010220,80
n0210010221,99
c0210010221,96
n0210010222,96
c0210010222,97
n0210011000,89
c0210011000,71
n0210011001,81
c0210011001,67
n0210011002,87
c0210011002,74
n0210011010,78
c0210011010,79
n0210011011,70
c0210011011,59
n0210011012,76
c0210011012,66
n0210011020,94
c0210011020,87
n0210011021,86
c0210011021,77
n0210011022,92
c0210011022,84
n0210011100,85
c0210011100,77
n0210011101,77
c0210011101,61
n0210011102,83
c0210011102,68
n0210011110,74
c0210011110,73
n0210011111,66
c0210011111,53
n0210011112,72
c0210011112,60
n0210011120,90
c0210011120,91
n0210011121,82
c0210011121,71
n0210011122,88
c0210011122,78
n0210011200,95
c0210011200,81
n0210011201,87
c0210011201,69
n0210011202,93
c0210011202,76
n0210011210,84
c0210011210,81
n0210011211,76
c0210011211,61
n0210011212,82
c0210011212,68
n0210011220,100
c0210011220,97
n0210011221,92
c0210011221,79
n0210011222,97
c0210011222,86
n0210012000,94
c0210012000,71
n0210012001,90
c0210012001,77
n0210012002,84
c0210012002,84
n0210012010,101
c0210012010,79
n0210012011,97
c0210012011,69
n0210012012,91
c0210012012,76
n0210012020,85
c0210012020,87
n0210012021,81
c0210012021,87
n0210012022,75
c0210012022,94
n0210012100,93
c0210012100,77
n0210012101,89
c0210012101,71
n0210012102,83
c0210012102,78
n0210012110,100
c0210012110,83
n0210012111,96
c0210012111,63
n0210012112,90
c0210012112,70
n0210012120,84
c0210012120,93
n0210012121,80
c0210012121,81
n0210012122,74
c0210012122,88
n0210012200,83
c0210012200,81
n0210012201,79
c0210012201,79
n0210012202,73
c0210012202,86
n0210012210,90
c0210012210,89
n0210012211,86
c0210012211,71
n0210012212,80
c0210012212,78
n0210012220,74
c0210012220,97
n0210012221,70
c0210012221,89
n0210012222,64
c0210012222,96
n0210020000,68
c0210020000,58
n0210020001,76
c0210020001,78
n0210020002,78
c0210020002,75
n0210020010,79
c0210020010,66
n0210020011,87
c0210020011,86
n0210020012,89
c0210020012,83
n0210020020,77
c0210020020,74
n0210020021,85
c0210020021,94
n0210020022,87
c0210020022,91
n0210020100,72
c0210020100,64
n0210020101,80
c0210020101,84
n0210020102,82
c0210020102,81
n0210020110,83
c0210020110,72
n0210020111,91
c0210020111,92
n0210020112,93
c0210020112,89
n0210020120,81
c0210020120,80
n0210020121,89
c0210020121,100
n0210020122,91
c0210020122,95
n0210020200,79
c0210020200,68
n0210020201,87
c0210020201,88
n0210020202,89
c0210020202,85
n0210020210,90
c0210020210,76
n0210020211,98
c0210020211,96
n0210020212,100
c0210020212,93
n0210020220,88
c0210020220,84
n0210020221,91
c0210020221,94
n0210020222,85
c0210020222,87
n0210021000,100
c0210021000,75
n0210021001,92
c0210021001,95
n0210021002,98
c0210021002,92
n0210021010,89
c0210021010,83
n0210021011,81
c0210021011,87
n0210021012,87
c0210021012,94
n0210021020,105
c0210021020,91
n0210021021,97
c0210021021,97
n0210021022,97
c0210021022,90
n0210021100,96
c0210021100,81
n0210021101,88
c0210021101,89
n0210021102,94
c0210021102,96
n0210021110,85
c0210021110,89
n0210021111,77
c0210021111,81
n0210021112,83
c0210021112,88
n0210021120,101
c0210021120,97
n0210021121,93
c0210021121,95
n0210021122,96
c0210021122,88
n0210021200,105
c0210021200,85
n0210021201,98
c0210021201,97
n0210021202,95
c0210021202,96
n0210021210,95
c0210021210,93
n0210021211,87
c0210021211,89
n0210021212,93
c0210021212,96
n0210021220,96
c0210021220,97
n0210021221,92
c0210021221,87
n0210021222,86
c0210021222,80
n0210022000,83
c0210022000,75
n0210022001,79
c0210022001,95
n0210022002,73
c0210022002,92
n0210022010,90
c0210022010,83
n0210022011,86
c0210022011,97
n0210022012,80
c0210022012,98
n0210022020,74
c0210022020,91
n0210022021,70
c0210022021,87
n0210022022,64
c0210022022,80
n0210022100,82
c0210022100,81
n0210022101,78
c0210022101,99
n0210022102,72
c0210022102,94
n0210022110,89
c0210022110,89
n0210022111,85
c0210022111,91
n0210022112,79
c0210022112,96
n0210022120,73
c0210022120,95
n0210022121,69
c0210022121,85
n0210022122,63
c0210022122,78
n0210022200,72
c0210022200,85
n0210022201,68
c0210022201,93
n0210022202,62
c0210022202,86
n0210022210,79
c0210022210,93
n0210022211,75
c0210022211,95
n0210022212,69
c0210022212,88
n0210022220,63
c0210022220,87
n0210022221,59
c0210022221,77
n0210022222,53
c0210022222,70
n0210100000,79
c0210100000,38
n0210100001,87
c0210100001,58
n0210100002,89
c0210100002,55
n0210100010,90
c0210100010,46
n0210100011,98
c0210100011,66
n0210100012,100
c0210100012,63
n0210100020,88
c0210100020,54
n0210100021,96
c0210100021,74
n0210100022,96
c0210100022,71
n0210100100,83
c0210100100,44
n0210100101,91
c0210100101,64
n0210100102,93
c0210100102,61
n0210100110,94
c0210100110,52
n0210100111,98
c0210100111,72
n0210100112,104
c0210100112,69
n0210100120,92
c0210100120,60
n0210100121,100
c0210100121,80
n0210100122,95
c0210100122,77
n0210100200,90
c0210100200,48
n0210100201,98
c0210100201,68
n0210100202,94
c0210100202,65
n0210100210,101
c0210100210,56
n0210100211,107
c0210100211,76
n0210100212,101
c0210100212,73
n0210100220,95
c0210100220,64
n0210100221,91
c0210100221,84
n0210100222,85
c0210100222,81
n0210101000,81
c0210101000,55
n0210101001,73
c0210101001,75
n0210101002,79
c0210101002,72
n0210101010,70
c0210101010,63
n0210101011,62
c0210101011,75
n0210101012,68
c0210101012,80
n0210101020,86
c0210101020,71
n0210101021,78
c0210101021,91
n0210101022,84
c0210101022,88
n0210101100,77
c0210101100,61
n0210101101,69
c0210101101,77
n0210101102,75
c0210101102,78
n0210101110,66
c0210101110,69
n0210101111,58
c0210101111,69
n0210101112,64
c0210101112,76
n0210101120,82
c0210101120,77
n0210101121,74
c0210101121,87
n0210101122,80
c0210101122,94
n0210101200,87
c0210101200,65
n0210101201,79
c0210101201,85
n0210101202,85
c0210101202,82
n0210101210,76
c0210101210,73
n0210101211,68
c0210101211,77
n0210101212,74
c0210101212,84
n0210101220,92
c0210101220,81
n0210101221,84
c0210101221,95
n0210101222,86
c0210101222,98
n0210102000,83
c0210102000,55
n0210102001,79
c0210102001,75
n0210102002,73
c0210102002,72
n0210102010,90
c0210102010,63
n0210102011,86
c0210102011,83
n0210102012,80
c0210102012,80
n0210102020,74
c0210102020,71
n0210102021,70
c0210102021,91
n0210102022,64
c0210102022,88
n0210102100,82
c0210102100,61
n0210102101,78
c0210102101,81
n0210102102,72
