code,n_mutations
c0000021101,68
n0000021102,68
c0000021102,65
n0000021110,69
c0000021110,56
n0000021111,77
c0000021111,76
n0000021112,79
c0000021112,73
n0000021120,67
c0000021120,64
n0000021121,75
c0000021121,84
n0000021122,77
c0000021122,81
n0000021200,65
c0000021200,52
n0000021201,73
c0000021201,72
n0000021202,75
c0000021202,69
n0000021210,76
c0000021210,60
n0000021211,84
c0000021211,80
n0000021212,86
c0000021212,77
n0000021220,74
c0000021220,68
n0000021221,82
c0000021221,88
n0000021222,84
c0000021222,85
n0000022000,46
c0000022000,42
n0000022001,54
c0000022001,62
n0000022002,56
c0000022002,59
n0000022010,57
c0000022010,50
n0000022011,65
c0000022011,70
n0000022012,67
c0000022012,67
n0000022020,55
c0000022020,58
n0000022021,63
c0000022021,78
n0000022022,65
c0000022022,75
n0000022100,50
c0000022100,48
n0000022101,58
c0000022101,68
n0000022102,60
c0000022102,65
n0000022110,61
c0000022110,56
n0000022111,69
c0000022111,76
n0000022112,71
c0000022112,73
n0000022120,59
c0000022120,64
n0000022121,67
c0000022121,84
n0000022122,69
c0000022122,81
n0000022200,57
c0000022200,52
n0000022201,65
c0000022201,72
n0000022202,67
c0000022202,69
n0000022210,68
c0000022210,60
n0000022211,76
c0000022211,80
n0000022212,78
c0000022212,77
n0000022220,66
c0000022220,68
n0000022221,74
c0000022221,83
n0000022222,76
c0000022222,76
n0000100000,25
c0000100000,5
n0000100001,33
c0000100001,25
n0000100002,35
c0000100002,22
n0000100010,36
c0000100010,13
n0000100011,44
c0000100011,33
n0000100012,46
c0000100012,30
n0000100020,34
c0000100020,21
n0000100021,42
c0000100021,41
n0000100022,44
c0000100022,38
n0000100100,29
c0000100100,11
n0000100101,37
c0000100101,31
n0000100102,39
c0000100102,28
n0000100110,40
c0000100110,19
n0000100111,48
c0000100111,39
n0000100112,50
c0000100112,36
n0000100120,38
c0000100120,27
n0000100121,46
c0000100121,47
n0000100122,48
c0000100122,44
n0000100200,36
c0000100200,15
n0000100201,44
c0000100201,35
n0000100202,46
c0000100202,32
n0000100210,47
c0000100210,23
n0000100211,55
c0000100211,43
n0000100212,57
c0000100212,40
n0000100220,45
c0000100220,31
n0000100221,53
c0000100221,51
n0000100222,55
c0000100222,48
n0000101000,65
c0000101000,22
n0000101001,73
c0000101001,42
n0000101002,75
c0000101002,39
n0000101010,75
c0000101010,30
n0000101011,67
c0000101011,50
n0000101012,73
c0000101012,47
n0000101020,74
c0000101020,38
n0000101021,82
c0000101021,58
n0000101022,84
c0000101022,55
n0000101100,69
c0000101100,28
n0000101101,74
c0000101101,48
n0000101102,79
c0000101102,45
n0000101110,71
c0000101110,36
n0000101111,63
c0000101111,56
n0000101112,69
c0000101112,53
n0000101120,78
c0000101120,44
n0000101121,79
c0000101121,64
n0000101122,85
c0000101122,61
n0000101200,76
c0000101200,32
n0000101201,84
c0000101201,52
n0000101202,86
c0000101202,49
n0000101210,81
c0000101210,40
n0000101211,73
c0000101211,60
n0000101212,79
c0000101212,57
n0000101220,85
c0000101220,48
n0000101221,89
c0000101221,68
n0000101222,95
c0000101222,65
n0000102000,57
c0000102000,22
n0000102001,65
c0000102001,42
n0000102002,67
c0000102002,39
n0000102010,68
c0000102010,30
n0000102011,76
c0000102011,50
n0000102012,78
c0000102012,47
n0000102020,66
c0000102020,38
n0000102021,74
c0000102021,58
n0000102022,76
c0000102022,55
n0000102100,61
c0000102100,28
n0000102101,69
c0000102101,48
n0000102102,71
c0000102102,45
n0000102110,72
c0000102110,36
n0000102111,80
c0000102111,56
n0000102112,82
c0000102112,53
n0000102120,70
c0000102120,44
n0000102121,78
c0000102121,64
n0000102122,80
c0000102122,61
n0000102200,68
c0000102200,32
n0000102201,76
c0000102201,52
n0000102202,78
c0000102202,49
n0000102210,79
c0000102210,40
n0000102211,87
c0000102211,60
n0000102212,89
c0000102212,57
n0000102220,77
c0000102220,48
n0000102221,85
c0000102221,68
n0000102222,85
c0000102222,65
n0000110000,42
c0000110000,26
n0000110001,50
c0000110001,46
n0000110002,52
c0000110002,43
n0000110010,53
c0000110010,34
n0000110011,61
c0000110011,54
n0000110012,63
c0000110012,51
n0000110020,51
c0000110020,42
n0000110021,59
c0000110021,62
n0000110022,61
c0000110022,59
n0000110100,46
c0000110100,32
n0000110101,54
c0000110101,52
n0000110102,56
c0000110102,49
n0000110110,57
c0000110110,40
n0000110111,65
c0000110111,60
n0000110112,67
c0000110112,57
n0000110120,55
c0000110120,48
n0000110121,63
c0000110121,68
n0000110122,65
c0000110122,65
n0000110200,53
c0000110200,36
n0000110201,61
c0000110201,56
n0000110202,63
c0000110202,53
n0000110210,64
c0000110210,44
n0000110211,72
c0000110211,64
n0000110212,74
c0000110212,61
n0000110220,62
c0000110220,52
n0000110221,70
c0000110221,72
n0000110222,72
c0000110222,69
n0000111000,69
c0000111000,43
n0000111001,61
c0000111001,63
n0000111002,67
c0000111002,60
n0000111010,58
c0000111010,51
n0000111011,50
c0000111011,71
n0000111012,56
c0000111012,68
n0000111020,74
c0000111020,59
n0000111021,66
c0000111021,79
n0000111022,72
c0000111022,76
n0000111100,65
c0000111100,49
n0000111101,57
c0000111101,69
n0000111102,63
c0000111102,66
n0000111110,54
c0000111110,57
n0000111111,46
c0000111111,74
n0000111112,52
c0000111112,74
n0000111120,70
c0000111120,65
n0000111121,62
c0000111121,85
n0000111122,68
c0000111122,82
n0000111200,75
c0000111200,53
n0000111201,67
c0000111201,73
n0000111202,73
c0000111202,70
n0000111210,64
c0000111210,61
n0000111211,56
c0000111211,81
n0000111212,62
c0000111212,78
n0000111220,80
c0000111220,69
n0000111221,72
c0000111221,89
n0000111222,78
c0000111222,86
n0000112000,74
c0000112000,43
n0000112001,82
c0000112001,63
n0000112002,84
c0000112002,60
n0000112010,85
c0000112010,51
n0000112011,83
c0000112011,71
n0000112012,89
c0000112012,68
n0000112020,83
c0000112020,59
n0000112021,91
c0000112021,79
n0000112022,93
c0000112022,76
n0000112100,78
c0000112100,49
n0000112101,86
c0000112101,69
n0000112102,88
c0000112102,66
n0000112110,87
c0000112110,57
n0000112111,79
c0000112111,77
n0000112112,85
c0000112112,74
n0000112120,87
c0000112120,65
n0000112121,95
c0000112121,85
n0000112122,92
c0000112122,82
n0000112200,85
c0000112200,53
n0000112201,93
c0000112201,73
n0000112202,91
c0000112202,70
n0000112210,96
c0000112210,61
n0000112211,89
c0000112211,81
n0000112212,95
c0000112212,78
n0000112220,92
c0000112220,69
n0000112221,88
c0000112221,89
n0000112222,82
c0000112222,86
n0000120000,39
c0000120000,30
n0000120001,47
c0000120001,50
n0000120002,49
c0000120002,47
n0000120010,50
c0000120010,38
n0000120011,58
c0000120011,58
n0000120012,60
c0000120012,55
n0000120020,48
c0000120020,46
n0000120021,56
c0000120021,66
n0000120022,58
c0000120022,63
n0000120100,43
c0000120100,36
n0000120101,51
c0000120101,56
n0000120102,53
c0000120102,53
n0000120110,54
c0000120110,44
n0000120111,62
c0000120111,64
n0000120112,64
c0000120112,61
n0000120120,52
c0000120120,52
n0000120121,60
c0000120121,72
n0000120122,62
c0000120122,69
n0000120200,50
c0000120200,40
n0000120201,58
c0000120201,60
n0000120202,60
c0000120202,57
n0000120210,61
c0000120210,48
n0000120211,69
c0000120211,68
n0000120212,71
c0000120212,65
n0000120220,59
c0000120220,56
n0000120221,67
c0000120221,76
n0000120222,69
c0000120222,73
n0000121000,79
c0000121000,47
n0000121001,72
c0000121001,67
n0000121002,78
c0000121002,64
n0000121010,69
c0000121010,55
n0000121011,61
c0000121011,75
n0000121012,67
c0000121012,72
n0000121020,85
c0000121020,63
n0000121021,77
c0000121021,83
n0000121022,83
c0000121022,80
n0000121100,76
c0000121100,53
n0000121101,68
c0000121101,73
n0000121102,74
c0000121102,70
n0000121110,65
c0000121110,61
n0000121111,57
c0000121111,81
n0000121112,63
c0000121112,78
n0000121120,81
c0000121120,69
n0000121121,73
c0000121121,89
n0000121122,79
c0000121122,86
n0000121200,86
c0000121200,57
n0000121201,78
c0000121201,77
n0000121202,84
c0000121202,74
n0000121210,75
c0000121210,65
n0000121211,67
c0000121211,85
n0000121212,73
c0000121212,82
n0000121220,91
c0000121220,73
n0000121221,83
c0000121221,89
n0000121222,89
c0000121222,82
n0000122000,71
c0000122000,47
n0000122001,79
c0000122001,67
n0000122002,81
c0000122002,64
n0000122010,82
c0000122010,55
n0000122011,90
c0000122011,75
n0000122012,92
c0000122012,72
n0000122020,80
c0000122020,63
n0000122021,88
c0000122021,83
n0000122022,82
c0000122022,80
n0000122100,75
c0000122100,53
n0000122101,83
c0000122101,73
n0000122102,85
c0000122102,70
n0000122110,86
c0000122110,61
n0000122111,90
c0000122111,81
n0000122112,96
c0000122112,78
n0000122120,84
c0000122120,69
n0000122121,87
c0000122121,87
n0000122122,81
c0000122122,80
n0000122200,82
c0000122200,57
n0000122201,86
c0000122201,77
n0000122202,80
c0000122202,74
n0000122210,93
c0000122210,65
n0000122211,93
c0000122211,85
n0000122212,87
c0000122212,82
n0000122220,81
c0000122220,73
n0000122221,77
c0000122221,79
n0000122222,71
c0000122222,72
n0000200000,24
c0000200000,10
n0000200001,32
c0000200001,30
n0000200002,34
c0000200002,27
n0000200010,35
c0000200010,18
n0000200011,43
c0000200011,38
n0000200012,45
c0000200012,35
n0000200020,33
c0000200020,26
n0000200021,41
c0000200021,46
n0000200022,43
c0000200022,43
n0000200100,28
c0000200100,16
n0000200101,36
c0000200101,36
n0000200102,38
c0000200102,33
n0000200110,39
c0000200110,24
n0000200111,47
c0000200111,44
n0000200112,49
c0000200112,41
n0000200120,37
c0000200120,32
n0000200121,45
c0000200121,52
n0000200122,47
c0000200122,49
n0000200200,35
c0000200200,20
n0000200201,43
c0000200201,40
n0000200202,45
c0000200202,37
n0000200210,46
c0000200210,28
n0000200211,54
c0000200211,48
n0000200212,56
c0000200212,45
n0000200220,44
c0000200220,36
n0000200221,52
c0000200221,56
n0000200222,54
c0000200222,53
n0000201000,64
c0000201000,27
n0000201001,72
c0000201001,47
n0000201002,74
c0000201002,44
n0000201010,75
c0000201010,35
n0000201011,77
c0000201011,55
n0000201012,83
c0000201012,52
n0000201020,73
c0000201020,43
n0000201021,81
c0000201021,63
n0000201022,83
c0000201022,60
n0000201100,68
c0000201100,33
n0000201101,76
c0000201101,53
n0000201102,78
c0000201102,50
n0000201110,79
c0000201110,41
n0000201111,73
c0000201111,61
n0000201112,79
c0000201112,58
n0000201120,77
c0000201120,49
n0000201121,85
c0000201121,69
n0000201122,87
c0000201122,66
n0000201200,75
c0000201200,37
n0000201201,83
c0000201201,57
n0000201202,85
c0000201202,54
n0000201210,86
c0000201210,45
n0000201211,83
c0000201211,65
n0000201212,89
c0000201212,62
n0000201220,84
c0000201220,53
n0000201221,92
c0000201221,73
n0000201222,94
c0000201222,70
n0000202000,56
c0000202000,27
n0000202001,64
c0000202001,47
n0000202002,66
c0000202002,44
n0000202010,67
c0000202010,35
n0000202011,75
c0000202011,55
n0000202012,77
c0000202012,52
n0000202020,65
c0000202020,43
n0000202021,73
c0000202021,63
n0000202022,75
c0000202022,60
n0000202100,60
c0000202100,33
n0000202101,68
c0000202101,53
n0000202102,70
c0000202102,50
n0000202110,71
c0000202110,41
n0000202111,79
c0000202111,61
n0000202112,81
c0000202112,58
n0000202120,69
c0000202120,49
n0000202121,77
c0000202121,69
n0000202122,79
c0000202122,66
n0000202200,67
c0000202200,37
n0000202201,75
c0000202201,57
n0000202202,77
c0000202202,54
n0000202210,78
c0000202210,45
n0000202211,86
c0000202211,65
n0000202212,88
c0000202212,62
n0000202220,76
c0000202220,53
n0000202221,81
c0000202221,73
n0000202222,75
c0000202222,70
n0000210000,41
c0000210000,31
n0000210001,49
c0000210001,51
n0000210002,51
c0000210002,48
n0000210010,52
c0000210010,39
n0000210011,60
c0000210011,59
n0000210012,62
c0000210012,56
n0000210020,50
c0000210020,47
n0000210021,58
c0000210021,67
n0000210022,60
c0000210022,64
n0000210100,45
c0000210100,37
n0000210101,53
c0000210101,57
n0000210102,55
c0000210102,54
n0000210110,56
c0000210110,45
n0000210111,64
c0000210111,65
n0000210112,66
c0000210112,62
n0000210120,54
c0000210120,53
n0000210121,62
c0000210121,73
n0000210122,64
c0000210122,70
n0000210200,52
c0000210200,41
n0000210201,60
c0000210201,61
n0000210202,62
c0000210202,58
n0000210210,63
c0000210210,49
n0000210211,71
c0000210211,69
n0000210212,73
c0000210212,66
n0000210220,61
c0000210220,57
n0000210221,69
c0000210221,77
n0000210222,71
c0000210222,74
n0000211000,79
c0000211000,48
n0000211001,71
c0000211001,68
n0000211002,77
c0000211002,65
n0000211010,68
c0000211010,56
n0000211011,60
c0000211011,76
n0000211012,66
c0000211012,73
n0000211020,84
c0000211020,64
n0000211021,76
c0000211021,84
n0000211022,82
c0000211022,81
n0000211100,75
c0000211100,54
n0000211101,67
c0000211101,74
n0000211102,73
c0000211102,71
n0000211110,64
c0000211110,62
n0000211111,56
c0000211111,80
n0000211112,62
c0000211112,79
n0000211120,80
c0000211120,70
n0000211121,72
c0000211121,90
n0000211122,78
c0000211122,87
n0000211200,85
c0000211200,58
n0000211201,77
c0000211201,78
n0000211202,83
c0000211202,75
n0000211210,74
c0000211210,66
n0000211211,66
c0000211211,86
n0000211212,72
c0000211212,83
n0000211220,90
c0000211220,74
n0000211221,82
c0000211221,94
n0000211222,88
c0000211222,91
n0000212000,73
c0000212000,48
n0000212001,81
c0000212001,68
n0000212002,83
c0000212002,65
n0000212010,84
c0000212010,56
n0000212011,92
c0000212011,76
n0000212012,94
c0000212012,73
n0000212020,82
c0000212020,64
n0000212021,89
c0000212021,84
n0000212022,83
c0000212022,81
n0000212100,77
c0000212100,54
n0000212101,85
c0000212101,74
n0000212102,87
c0000212102,71
n0000212110,88
c0000212110,62
n0000212111,89
c0000212111,82
n0000212112,95
c0000212112,79
n0000212120,86
c0000212120,70
n0000212121,88
c0000212121,90
n0000212122,82
c0000212122,87
n0000212200,84
c0000212200,58
n0000212201,87
c0000212201,78
n0000212202,81
c0000212202,75
n0000212210,95
c0000212210,66
n0000212211,94
c0000212211,86
n0000212212,88
c0000212212,83
n0000212220,82
c0000212220,74
n0000212221,78
c0000212221,94
n0000212222,72
c0000212222,91
n0000220000,38
c0000220000,35
n0000220001,46
c0000220001,55
n0000220002,48
c0000220002,52
n0000220010,49
c0000220010,43
n0000220011,57
c0000220011,63
n0000220012,59
c0000220012,60
n0000220020,47
c0000220020,51
n0000220021,55
c0000220021,71
n0000220022,57
c0000220022,68
n0000220100,42
c0000220100,41
n0000220101,50
c0000220101,61
n0000220102,52
c0000220102,58
n0000220110,53
c0000220110,49
n0000220111,61
c0000220111,69
n0000220112,63
c0000220112,66
n0000220120,51
c0000220120,57
n0000220121,59
c0000220121,77
n0000220122,61
c0000220122,74
n0000220200,49
c0000220200,45
