mKate_pix,mKate_pix_std,GFP_pix,GFP_pix_std,mKate_mean,mKate_std,GFP_mean,GFP_std,pix_ratio_mean,pix_ratio_std,intensity_ratio_mean,intensity_ratio_std,sum_ratio,sum_ratio_std,Label,E,m,Chimera,s_block
526250.625,52144.125,548280.0,27504.25,0.00191155246599,0.000756503447995,0.0018807229986,0.000607565746975,1.0931050132,0.06113216647,1.08944718315,0.025178910575,1.18934093616,0.03907707319,c5,12,9,2221222222,222211122222222222222222
,,,,,,,,,,,,,,c13,8,25,2232222222,223322222222222222222222
545001.25,12941.75,288114.625,115711.875,0.00402339449757,0.000724379683335,0.00427906819946,0.00342225647979,0.516554498294,0.22566991025,0.979438720987,0.722823742383,0.342813908059,0.152348007341,c14,9,10,2223222222,222233322222222222222222
452679.75,6307.25,265851.625,144628.125,0.00301504327742,0.00077065834233,0.00343599490063,0.00267180595058,0.569851372012,0.302424662899,0.88238080285,0.540158623461,0.339468621529,0.0409564158335,c15,6,6,2222322222,222222233333322222222222
430587.75,6526.0,545110.875,15807.375,0.00429527591189,0.00079693446874,0.00228781326053,0.000355583122725,1.2606529692,0.019990757025,0.536167482948,0.0102632049485,0.675715960126,0.002219945916,c16,8,28,2222232222,222222222222233322222222
559547.75,17580.0,287823.625,134452.125,0.0017119091477,0.00055968872309,0.00225965092334,0.000764599309925,0.504115688724,0.230464197379,1.33462841311,0.183265631655,0.715043288373,0.399971146147,c19,22,18,2222222232,222222222222222222222332
547027.75,65583.5,610894.375,21111.375,0.00513087722658,0.00105910319257,0.00241896700399,0.0004888880808,1.13991925157,0.176147945758,0.471536868772,0.0028695683145,0.538019423101,0.086331326948,c20,2,7,2222222223,222222222222222222222223
840349.0,0.0,167915.0,0.0,0.000393187456983,0.0,0.00201170310801,0.0,0.19981579082,0.0,5.11639695591,0.0,1.02233690389,0.0,c21,24,70,2223332332,222233333333333322333332
,,,,,,,,,,,,,,c24,33,81,2122133321,212222211111133333333221
,,,,,,,,,,,,,,c25,40,88,2312231233,231122222222233311222333
654835.5,0.0,509652.0,0.0,0.00096864719186,0.0,0.00238650602011,0.0,0.788281669759,0.0,2.55210593517,0.0,2.01177832798,0.0,c28,32,85,2333232111,233333322222233322111111
665956.75,0.0,571801.25,0.0,0.000660852859056,0.0,0.0007637042075,0.0,0.866685404355,0.0,1.16654123282,0.0,1.01102426006,0.0,c30,13,38,2213122222,221133311111122222222222
,,,,,,,,,,,,,,c31,37,70,2231133132,223311111111133333111332
675504.5,0.0,736881.5,0.0,0.00530171184677,0.0,0.00137757906291,0.0,1.08822477258,0.0,0.266327612697,0.0,0.289824305759,0.0,c32,19,81,2332112333,233322211111111122333333
673972.5,0.0,579438.0,0.0,0.000650183954332,0.0,0.000671385138488,0.0,0.858147567474,0.0,1.03459804763,0.0,0.88783779789,0.0,c35,24,96,2113313312,211133333333311133333112
,,,,,,,,,,,,,,c37,6,23,1121111111,112211111111111111111111
811038.5,0.0,626835.75,0.0,0.000732794093633,0.0,0.00204766153366,0.0,0.776316130906,0.0,2.79249307526,0.0,2.16785741977,0.0,c39,2,5,1111211111,111111122222211111111111
815801.75,0.0,509474.25,0.0,0.000502424526947,0.0,0.000942327295295,0.0,0.629923500615,0.0,1.88985203267,0.0,1.19046220806,0.0,c40,7,21,1111121111,111111111111122211111111
793994.5,0.0,710743.5,0.0,0.000988608568542,0.0,0.0016280392389,0.0,0.884787234776,0.0,1.64867551496,0.0,1.45872704992,0.0,c41,19,17,1111112111,111111111111111122111111
937290.125,42563.375,727903.5,70218.25,0.000965562348493,1.9793967815e-06,0.00287399555152,0.000273083741175,0.779756980841,0.107617030885,2.968444319,0.226183524095,2.29032398067,0.143086982095,c42,2,6,1111111211,111111111111111111222111
,,,,,,,,,,,,,,c43,11,8,1111111121,111111111111111111111221
815666.5,0.0,522437.75,0.0,0.000510923249359,0.0,0.00108908055803,0.0,0.643679997438,0.0,2.11221149186,0.0,1.35958828767,0.0,c44,9,20,1111111112,111111111111111111111112
766934.0,0.0,634913.0,0.0,0.000727522621268,0.0,0.000931441868284,0.0,0.824208573251,0.0,1.2641800273,0.0,1.04194801663,0.0,c46,6,10,1311111111,131111111111111111111111
,,,,,,,,,,,,,,c47,9,21,1131111111,113311111111111111111111
863802.5,47606.25,517437.375,45885.125,0.000789556565979,0.000141196166665,0.00210806211129,0.00049571796731,0.597140466267,0.0873377067285,3.04487615461,1.04883037718,1.7266163268,0.36036655985,c48,12,10,1113111111,111133311111111111111111
1090351.375,50930.125,957656.0,56369.75,0.00109447340126,9.53811862085e-05,0.00248139037143,0.000473847240865,0.88796889515,0.0921002287725,2.24628873263,0.22683785938,1.97374270535,0.005458742795,c49,8,10,1111311111,111111133333311111111111
,,,,,,,,,,,,,,c50,12,25,1111131111,111111111111133311111111
,,,,,,,,,,,,,,c51,18,17,1111113111,111111111111111133111111
999958.875,61488.875,778417.75,31597.25,0.000843577160147,1.1913850952e-05,0.00239789673847,0.000501467773495,0.782517371391,0.0823954182155,2.83564413975,0.54969938891,2.17364808739,0.196505236055,c52,7,10,1111111311,111111111111111111333111
,,,,,,,,,,,,,,c53,22,16,1111111131,111111111111111111111331
815167.916667,36840.4166665,439359.583334,184592.916667,0.000462631308106,2.966414071e-06,0.00152204445967,0.00043207633951,0.567559343653,0.275410447564,3.29737942571,0.940876889885,1.61233117727,0.374129273335,c54,7,17,1111111113,111111111111111111111113
