mKate_mean,mKate_std,GFP_mean,GFP_std,sum_ratio,sum_ratio_std,Label,E,m,Chimera
0.57189414174,0.0143260988965,0.600359095377,0.0147968019115,0.707067368352,0.0058537236065,n1,5,40,1111112111
,,,,,,n3,1,5,1222222222
0.763658696723,0.064868907928,0.759197748519,0.042145381364,0.753041011213,0.119408142531,n4,5,19,2122222222
0.820564008013,0.0307149481145,0.287680332208,0.003578866354,0.0846465158837,0.0005749429703,n9,2,4,2222222122
0.798828520643,0.029146665507,1.27944992501,0.00976927157,1.27717190568,0.077727925905,n13,10,33,2322222222
1.64626844763,0.014154055735,0.3348706267,0.01877893973,0.104177281297,0.00647306157285,n14,4,18,2232222222
1.13010756655,0.028712595425,0.455026809254,0.0295628871855,0.261306879668,0.0274170453415,n18,18,10,2222222322
,,,,,,n21,29,57,3323222323
0.169293758324,0.0037348859265,0.319395274579,0.004302979098,0.124878761668,0.02938002378,n23,29,78,1331132331
,,,,,,n29,16,56,3123332221
,,,,,,n32,16,88,1111322333
,,,,,,n34,20,70,3113222231
0.263577156481,0.0676545965455,0.573820237942,0.038177014624,0.112015095178,0.0382606466034,n35,29,72,3331312131
,,,,,,n36,1,5,2111111111
,,,,,,n37,6,19,1211111111
0.133595621168,0.0040022182465,0.280378142992,0.0268609674475,0.913512198697,0.0271446778875,n38,4,19,1121111111
0.252431973915,0.0007998212815,0.457442350284,0.0256784815775,1.22061816148,0.20777717772,n40,5,25,1111211111
0.152171329844,0.0014001362675,0.325533777051,0.015488774124,1.09039305544,0.299469206459,n41,8,17,1111121111
0.164441110779,0.001280355472,0.379865600913,0.000727280223,1.10115615678,0.208481436328,n42,2,4,1111111211
,,,,,,n43,6,11,1111111121
,,,,,,n44,6,8,1111111112
0.20920721924,0.0002718418535,0.441579240341,0.014723986709,1.03956514186,0.123002081993,n45,3,7,3111111111
,,,,,,n46,21,35,1311111111
,,,,,,n47,5,15,1131111111
,,,,,,n48,1,4,1113111111
,,,,,,n49,8,24,1111311111
,,,,,,n50,12,14,1111131111
0.799166636041,0.0903023614685,1.53159448489,0.200998979535,1.48719964016,0.067639560455,n51,10,32,1111113111
0.264927098279,0.008929138288,0.396033238076,0.008736982718,0.666570453527,0.036409871036,n52,15,11,1111111311
,,,,,,n53,9,9,1111111131
,,,,,,n56,12,35,3133333333
1.8908130734,0.08418161477,2.79312964128,0.37232892948,1.21156414757,0.12322130133,n57,8,15,3313333333
0.252034699305,0.120701994439,0.689474140576,0.10997095238,2.19543190884,0.003735333205,n63,9,9,3333333313
0.232073716662,0.0,0.34101190076,0.0,1.09978608314,0.0,n64,8,10,3333333331
0.896322445766,0.0286943716955,1.23508299538,0.07844350013,0.97928049541,0.003033774543,n65,2,6,2333333333
0.581763381171,0.082779725987,1.20040764775,0.039037844625,1.45923560509,0.07868729178,n68,1,2,3332333333
0.744998002518,0.0104769187105,1.35018964944,0.09121174932,1.30058739234,0.026130178215,n70,6,11,3333323333
1.18243968125,0.073906744275,1.20411347569,0.09476539997,0.710204093057,0.0207225337015,n72,14,16,3333333323
,,,,,,n75,43,103,1323211322
0.271391512915,0.0,0.449535288898,0.0,0.32922068235,0.0,n76,20,79,2213123222
0.184569023077,0.023935703692,0.586679541263,0.011463578924,0.876439320349,0.496373499932,n77,16,93,3323231122
,,,,,,n78,28,105,3323211221
0.289182453676,0.002104399628,0.494868093404,0.0504463137825,0.113467408833,0.0518106920086,n80,17,93,2311231223
0.439618345929,0.0684320135135,0.451957194841,0.017034058816,0.569361156706,0.10012939345,n82,26,76,3223123322
0.414539368831,0.0084231245765,0.242689932056,0.033077851796,0.0500257552128,0.023615120857,n84,30,81,2133313321
,,,,,,n86,23,99,1311321222
0.162478435289,0.020752640974,1.11901137222,0.301491414002,0.318146138821,0.177032102953,n88,29,86,3122323231
0.33693998609,0.008933979243,0.559851662467,0.0578787920685,0.0497990903982,0.0168979409297,n89,30,66,1311323211
0.157309691633,0.0,1.59157977386,0.0,0.263372485929,0.0,n93,46,85,3313121321
0.837429127656,0.085231679753,1.06839422991,0.0912974036605,1.03973262249,0.00712068519,n94,17,88,2123113332
0.231034492042,0.0105642077365,0.681016767612,0.053541082165,0.066674911765,0.0112541162604,n95,25,90,1212333121
0.240484620978,0.0291294649865,0.535104964227,0.101349966617,0.0706138386762,0.0103487724899,n96,30,71,3231313113
0.197437127353,0.0316715599035,0.823509072911,0.0003444957715,0.535117264461,0.31717779109,n97,42,94,3322111322
0.23465153694,0.002955818945,0.746641440566,0.204580796541,0.281438125044,0.0989660281365,n98,36,83,1322311233
0.1309499781,0.0318155736045,0.694149053481,0.094585829892,0.273139044111,0.157646432416,n99,19,66,3123311212
0.31179378682,0.01917504381,0.975642778525,0.205878705744,0.0427994329361,0.0168476381005,n100,40,57,2312313231
1.33452359354,0.271104840535,0.570517071438,0.0363992773092,0.311741025011,0.0738035847475,C1C2,0,0,2222222222
0.20537531966,0.0301629238338,0.487800632102,0.0777462483362,1.33018140912,0.26125806665,CheRiff,0,0,1111111111
1.44751034789,0.267897710319,1.90707114599,0.15961342044,1.20024868018,0.205162342085,CsChrim,0,0,3333333333
