kernel,y,log_ML,LOO_log_P,R,tau,AUC,hypers,Predicted?,Saved?,alpha
structure,log_mKate,-215.3401902,-204.8090064,0.698720477,0.509663047,,Hypers(var_n=0.43790392710964138  var_p=0.75753636474889208),no,FALSE
52Structure,log_GFP,-262.3830107,-256.9694149,0.426176534,0.252241715,,Hypers(var_n=0.30858614468635803  ell=8.7893972834370047),no,FALSE
SEStructure,GFP_above_parent,-131.697964306,,,,0.5,{'sigma_f': 1.2699275857624678e-05  'ell': 0.89576233249823545},no,True
structure,mKate_above_parent,-63.1735206442,,,,0.915928198137,Hypers(var_p=5.1231367978746976),no,False
SEStructure,GFP_above_parent,-127.485566663,,,,0.952493261456,{'sigma_f': 1.1426097316377879  'ell': 10.879584811194865},no,True
SEStructure,mKate_above_parent,-62.8931845484,,,,0.918882072256,{'sigma_f': 3.4185900083100873  'ell': 41.462456936338477},no,True
SEStructure,log_GFP,-258.196167909,-252.399146196,0.426583485633,0.233305485937,,Hypers(var_n=0.54966476753354143  sigma_f=0.64710688641095138  ell=8.4722598263443079),no,False
structure,log_GFP,-263.940266858,-260.808385735,0.295524643549,0.14753550543,,Hypers(var_n=0.86741314308275219  var_p=0.20673233066865648),no,False
structure 52Structure,log_GFP,-262.808877341,-258.86785925,0.37820164091,0.20679476469,,Hypers(var_n=1.0000000000000001e-05  var_p0=0.13064617221693478  ell0=3.7993120392870545),no,False
52Structure,GFP_mean,-262.587467913,-256.442101915,0.445913397923,0.228070175439,,Hypers(var_n=0.39919616367052613  ell=10.725203495556041),no,False
52Structure,cell_ratio,-269.098326771,-269.098327228,-0.0719351983779,0.0706928988902,,Hypers(var_n=1.0000000000000001e-05  ell=0.38564995714859279),no,False
52Structure,cell_ratio,-261.507879073,-255.842988629,0.355996578117,0.287218045113,,Hypers(var_n=0.71900049448774073  ell=31.709317045481914),no,False
SEStructure,cell_ratio_above_parent,-131.697964306,,,,0.5,Hypers(sigma_f=1.2395318697474548e-05  ell=0.9072731011682742),no,False
SEStructure,cell_ratio,-260.869996407,-255.784879458,0.35596630757,0.289780005569,,Hypers(var_n=0.69700376434976652  sigma_f=0.68163273872857744  ell=15.945884267700045),no,False
SEStructure,cell_ratio_above_parent,-81.953783573,,,,0.911705069124,Hypers(sigma_f=2.7279357522109597  ell=30.47651946891726),no,False
structure,mKate_mean,-222.171533831,-223.248579188,0.428116800764,0.359732664996,,Hypers(var_p=0.49911582806369686),no,False
structure,mKate_mean,-229.455548394,-220.446427718,0.629666337297,0.499749373434,,Hypers(var_n=0.52255874752413989  var_p=0.71785115470131),no,False
52Structure,GFP_mean,-309.581178269,-309.581178422,-0.0648575679157,0.14480971252,,Hypers(ell=0.38716193100906526),no,False
52Structure,GFP_mean,-271.046642407,-269.048067285,-0.466358395181,-0.497632971317,,Hypers(ell=1365.8100225353326),no,False
52Structure,GFP_mean,-271.041628027,-269.046494941,-0.557388916288,-0.662155388471,,Hypers(ell=2240.2092440178976),no,False
52Structure,mKate_mean,-220.715081976,-219.061451839,0.46275617444,0.38902812587,,Hypers(ell=44.998507173960682),no,False
52Structure,mKate_mean,-229.91328688,-221.088002535,0.625807037788,0.494959621275,,Hypers(var_n=0.4703471633218434  ell=31.800951344393617),no,False
SEStructure,mKate_mean,-220.516167081,-219.104751207,0.460981636964,0.387134502924,,Hypers(sigma_f=0.70709855914441599  ell=25.229016811812546),no,False
52Structure,cell_ratio,-329.335664507,-326.190528343,0.258173665645,0.226399331662,,Hypers(ell=78.422822221816659),no,False
structure,log_mKate,-249.186853039,-236.906776048,0.66285895742,0.474881516588,,Hypers(var_n=0.4779379550601689  var_p=0.92781797128197341),no,False
52,log_mKate,-226.066533183,-210.69722027,0.749148431017,0.554321823516,,Hypers(var_n=0.31499019149322827  ell=5.6385704802253658),no,FALSE,0.0095
lin,log_mKate,-224.877664319,-211.053766496,0.750192303354,0.548724892801,,Hypers(var_n=0.3817390471695799  var_p=0.038507318187589325),no,FALSE,0.0095

lin,log_GFP,-279.558944116,-275.445634581,0.445549900687,0.213992326789,,Hypers(var_n=0.76726148041431352  var_p=0.040727340150229829),no,FALSE,0.02
lin,log_GFP,-279.078381653,-274.55620415,0.453795696229,0.254705484089,,Hypers(var_n=0.75593709994797986  var_p=0.027936267495454827),no,FALSE,0.0135
SE,cell_ratio,-269.586278314,-260.347176594,0.539813422132,0.40022568269,,Hypers(var_n=0.55805492588407224  sigma_f=1.0651525201667478  ell=4.2188605118397424),no,FALSE,0.02
32,log_GFP,-278.918305037,-272.032241874,0.476880638891,0.268607537802,,Hypers(var_n=0.69021623238338348  ell=5.6256077714899186),no,FALSE,0.0135
SE,log_GFP,-278.099392279,-271.443219821,0.481765108335,0.271225457007,,Hypers(var_n=0.68454275003854448  sigma_f=0.61524561306966186  ell=2.2963863831442874),no,FALSE,0.0135
